"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000229716",20.193606664724,7.28315096462821,2.27283162138142,3.20443929770809,0.00135325822972549,0.0183236932948656,"up"
"ENSG00000224340",20.4122212013743,7.29847573057992,2.18544675738538,3.33958066281682,0.000839049800154782,0.0183236932948656,"up"
"ENSG00000199347",23.0552846562493,6.98818247074789,2.19265742738592,3.18708357423585,0.00143715241528358,0.0183236932948656,"up"
"ENSG00000227875",22.4060709780781,7.43316095017673,2.24764604922285,3.30708696449196,0.000942716206303118,0.0183236932948656,"up"
"ENSG00000229484",16.6690527309521,7.49302873880846,2.10506008524447,3.55953200164272,0.000371516262012667,0.0183236932948656,"up"
"ENSG00000229978",15.494958764665,6.8989678250189,2.10612325075327,3.27567146060965,0.00105411106780371,0.0183236932948656,"up"
"ENSG00000222952",22.2874074850119,7.91187028890014,2.48005127328667,3.19020432122558,0.00142172239583699,0.0183236932948656,"up"
"ENSG00000233485",16.61538130228,7.48835179416501,2.24807369299451,3.33100815044469,0.000865320687615517,0.0183236932948656,"up"
"ENSG00000230337",25.4986702719158,3.10305559925618,1.0159522087822,3.0543322534588,0.00225562118165541,0.0209157600480775,"up"
"ENSG00000272482",13.8474163282119,4.7237934742814,1.53301013071938,3.08138438202278,0.00206040476714762,0.0209157600480775,"up"
"ENSG00000204495",13.2351505317624,7.16025560938932,2.31491366661525,3.09309833565356,0.00198078488431223,0.0209157600480775,"up"
"ENSG00000201725",12.6489059674294,7.09482402230678,2.35033316937239,3.01864608590845,0.00253906954279605,0.0209212697943338,"up"
"ENSG00000231181",23.8198778990104,2.47213933684431,0.83518974959884,2.95997327317743,0.00307665732269614,0.0209212697943338,"up"
"ENSG00000243539",17.44805340707,7.5587123910136,2.55120388999205,2.96280215809688,0.00304852439966679,0.0209212697943338,"up"
"ENSG00000231606",14.4035871974888,7.28208838586822,2.44585139697844,2.97732249590649,0.00290777967366144,0.0209212697943338,"up"
"ENSG00000207865",14.5138577704983,5.41261689574034,1.93465594599397,2.79771548370037,0.00514654250299907,0.0317697619672976,"up"
"ENSG00000225196",17.2884709345106,7.72346164124707,2.76973583289335,2.78851923332302,0.00529496032788293,0.0317697619672976,"up"
"ENSG00000224199",15.832451455643,7.55002046501661,2.7993235436372,2.69708747392835,0.00699488931203141,0.0396377061015113,"up"
"ENSG00000236269",19.1627980463844,3.30183492458013,1.23601302488724,2.67135932882371,0.00755447292169288,0.0398823528706491,"up"
"ENSG00000271264",12.1699258532199,7.03905824377115,2.68301570530313,2.62356207228235,0.00870155876822398,0.0398823528706491,"up"
"ENSG00000243267",10.728452966424,4.91851701073435,1.88281774688331,2.6123171076309,0.00899307956887187,0.0398823528706491,"up"
"ENSG00000225602",14.2750185960065,5.06978783575298,1.922472221187,2.63711890339966,0.00836135176323578,0.0398823528706491,"up"
"ENSG00000179412",14.8583751316051,7.32685099266349,2.76087881863055,2.65381114999381,0.00795883558252266,0.0398823528706491,"up"
