"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000229201",18.259282636171,21.8728086038937,2.88342991058453,7.58569109781471,3.30719490220254e-14,3.7702021885109e-12,"up"
"ENSG00000229067",29.1747317164642,6.34330408490165,1.36098308159363,4.66082508349335,3.14944296057597e-06,0.00017951824875283,"up"
"ENSG00000180869",29.4082632068808,6.3569513768706,1.52398635529637,4.1712652838249,3.02912965435031e-05,0.00114754086936199,"up"
"ENSG00000223254",32.8363269845352,6.54132852295857,1.61351506289022,4.05408581140939,5.0330739884298e-05,0.00114754086936199,"up"
"ENSG00000235251",25.9378288777574,4.08988647776682,0.998405839615918,4.09641682318303,4.19594149189505e-05,0.00114754086936199,"up"
"ENSG00000272691",30.4759028376352,4.25825884233376,1.10606114134404,3.84993078878017,0.00011815120661463,0.00224487292567797,"up"
"ENSG00000235089",27.203988694267,8.16904602559887,2.30897254255577,3.53795719742803,0.000403235418709349,0.00583853223745609,"up"
"ENSG00000183347",17.0265355998928,5.62904764321031,1.60674457888125,3.50338673439292,0.000459381976015125,0.00583853223745609,"up"
"ENSG00000230735",19.4426459549735,4.97952595007455,1.42171158497886,3.50248672282473,0.000460936755588639,0.00583853223745609,"up"
"ENSG00000266110",25.1426197767161,8.05569653389023,2.33508015565108,3.44985867589805,0.000560880093529279,0.0062120090017935,"up"
"ENSG00000207234",16.8397618222494,3.82698916395056,1.11512784636105,3.4318837758729,0.00059940437736604,0.0062120090017935,"up"
"ENSG00000202385",24.7302285465545,8.03156793857108,2.36305249121898,3.39881063514928,0.000676795581475474,0.00640194041664362,"up"
"ENSG00000272094",18.8322603008072,6.13653091568121,1.81659535063564,3.37803953617628,0.000730045836985676,0.00640194041664362,"up"
"ENSG00000224235",16.9377062046157,7.48596696480712,2.271971333398,3.29492139921105,0.00098449212615344,0.00801657874153516,"up"
"ENSG00000199318",21.5794496916499,7.83514002481231,2.40393178289643,3.25930214848775,0.00111686651103044,0.00848818548383132,"up"
"ENSG00000215875",18.623217879504,5.76831839525725,1.8338718735641,3.14543152027662,0.0016584201509066,0.0118162435752095,"up"
"ENSG00000230787",24.7796600854791,3.80112232084878,1.22021884364889,3.11511524398532,0.00183873055719052,0.0119768355178688,"up"
"ENSG00000238081",19.2705113659838,4.42158169616128,1.4231831041724,3.10682559622747,0.00189107929229508,0.0119768355178688,"up"
"ENSG00000224678",12.6165541028493,7.06118487731017,2.34629737978157,3.00950124146988,0.00261677009336082,0.0157006205601649,"up"
"ENSG00000227290",18.7603518494331,6.19813174070904,2.26957424508384,2.73096672388441,0.00631488473734568,0.0359948430028704,"up"
"ENSG00000232393",12.2778494918849,5.15445063791317,1.91922158839006,2.68569855044043,0.00723783569079443,0.0392911080357412,"up"
"ENSG00000242598",12.9074012315819,6.60240094434315,2.5077343196748,2.63281516408778,0.00846804173096051,0.0427387075804598,"up"
"ENSG00000230721",18.2814088995853,5.07837102928585,1.94413866204252,2.61214445679018,0.00899762264851784,0.0427387075804598,"up"
"ENSG00000215873",14.6003640037734,4.20289310508711,1.60687542776619,2.61556871955519,0.00890789940671373,0.0427387075804598,"up"
"ENSG00000016490",10.8059392543352,6.34299555592014,2.46837628819065,2.56970364942601,0.0101785546267758,0.0464142090980978,"up"
