gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000273487,3,3,2,4,48,1,7,0,0,0,139,3
ENSG00000203910,2,1,2,3,4,1,1,62,150,59,136,3
ENSG00000233125,1,2,2,1,0,2,3,122,48,103,0,5
ENSG00000174842,610,481,573,839,466,672,305,344,656,986,388,336
ENSG00000122484,901,843,790,906,957,917,1802,992,808,991,981,1834
ENSG00000242764,0,0,0,0,0,0,0,0,0,5,27,0
ENSG00000162676,24,11,8,3,17,10,12,0,0,140,114,5
ENSG00000067208,532,1206,604,396,1066,500,266,1337,465,393,1178,1001
ENSG00000223787,0,0,0,0,1,0,1,108,121,32,19,0
ENSG00000229992,1,0,1,0,2,1,2,115,71,0,0,3
ENSG00000225505,1,0,0,0,0,0,2,0,0,17,0,0
ENSG00000223896,1,0,0,0,0,1,0,0,98,0,58,2
ENSG00000122406,12456,11540,15623,16749,9170,13819,6228,11464,15529,16880,9202,6910
ENSG00000251795,12,19,23,8,21,19,6,0,96,18,31,39
ENSG00000207523,11,7,8,9,13,9,6,0,59,152,87,5
ENSG00000154511,182,431,160,196,381,137,365,517,267,218,377,69
ENSG00000207022,1,2,0,0,1,0,1,100,0,0,0,0
ENSG00000229052,6,2,0,0,1,1,12,0,0,1,0,1
ENSG00000143033,2473,1335,2138,2721,2638,2294,1236,1187,1994,2785,2742,1147
ENSG00000117500,881,2457,1576,1259,1828,1214,1763,2535,1669,1197,1695,607
ENSG00000122483,537,311,709,679,258,535,1074,281,711,606,359,1071
ENSG00000237003,0,1,1,0,0,1,0,57,3,28,35,0
ENSG00000225297,0,0,0,0,0,0,0,0,28,0,0,0
ENSG00000223745,284,210,556,352,812,318,569,180,631,276,850,637
ENSG00000229567,1,0,1,0,0,1,3,37,113,10,0,3
ENSG00000117505,1642,1860,1853,1890,1489,1643,3284,1780,1706,1984,1411,822
ENSG00000229635,5,2,6,5,7,6,2,0,42,0,147,13
ENSG00000207379,0,0,0,0,0,0,0,0,0,0,59,1
ENSG00000137942,6822,4134,5475,5135,11523,6551,3411,4262,5603,5126,11445,13102
ENSG00000212601,0,0,0,0,0,1,0,0,0,0,131,1
ENSG00000137936,584,1094,1141,774,705,713,1168,970,1033,726,755,1427
ENSG00000224093,5,6,1,3,10,4,3,0,0,108,53,2
ENSG00000230439,10,18,14,3,16,6,5,0,156,45,114,3
ENSG00000211575,2,0,1,0,2,0,4,134,37,0,0,0
ENSG00000260464,24,21,12,13,59,22,48,50,0,0,135,11
ENSG00000067334,2233,1844,1823,2673,1685,2472,1116,1714,1930,2721,1795,1236
ENSG00000023909,354,834,347,284,175,334,709,868,288,172,163,669
ENSG00000236689,0,0,0,0,0,0,1,0,127,148,0,0
ENSG00000233129,0,0,0,0,0,0,0,66,118,52,44,0
ENSG00000198691,11,14,15,11,6,20,22,145,118,157,143,10
ENSG00000137962,689,1159,668,310,443,805,344,1193,643,451,328,1610
ENSG00000264963,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178596,0,0,0,0,0,0,0,0,82,138,119,0
ENSG00000236098,0,2,0,0,0,0,0,23,73,67,0,1
ENSG00000226835,0,2,0,0,1,0,0,0,0,0,135,0
ENSG00000117528,1651,1751,1465,2131,1334,1651,826,1776,1386,2086,1384,3302
ENSG00000117525,289,368,285,318,183,375,578,321,316,208,208,750
ENSG00000223675,1,0,0,4,0,5,0,0,0,0,98,11
ENSG00000235565,4,13,10,5,3,11,2,42,0,41,5,22
ENSG00000224081,2,25,20,2,7,10,1,0,135,127,0,21
ENSG00000232857,0,0,0,0,0,0,0,0,147,0,22,0
ENSG00000244433,0,0,0,0,0,0,0,147,0,0,108,0
ENSG00000143036,49,117,93,19,61,72,98,240,147,0,0,36
ENSG00000237416,1,2,1,0,0,0,2,0,141,0,119,0
ENSG00000117519,12313,9432,19130,10719,9289,15191,6157,9463,19119,10674,9430,30382
ENSG00000235501,183,119,201,227,128,195,366,252,131,95,274,98
ENSG00000172339,230,287,259,209,237,276,115,194,400,148,372,552
ENSG00000230427,0,0,0,0,0,0,0,0,76,0,0,0
ENSG00000152078,109,253,458,236,184,247,55,282,523,220,140,494
