gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000041988,277,334,415,330,312,310,138,668,335,165,406,155
ENSG00000007923,1328,1560,1266,1294,880,1301,664,3120,1218,2588,903,2602
ENSG00000237436,17,7,14,18,11,12,8,4,108,36,160,6
ENSG00000171735,2447,1237,1480,1959,2896,1706,1224,618,1622,980,2768,853
ENSG00000227950,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000237365,0,0,0,0,0,0,0,0,133,0,0,0
ENSG00000237402,2,0,1,4,1,0,1,0,0,2,0,0
ENSG00000237728,0,0,0,0,0,0,0,0,124,0,1,88
ENSG00000225126,1,0,0,0,0,0,1,0,0,49,1,0
ENSG00000270171,81,7,8,21,88,18,41,4,91,134,44,0
ENSG00000270035,47,13,7,18,46,24,94,26,0,0,93,0
ENSG00000269978,40,9,8,20,36,22,80,18,43,0,72,0
ENSG00000049245,1340,2905,2131,1309,1430,1626,2681,5811,2130,1355,2861,1720
ENSG00000269925,18,24,10,14,24,15,36,12,16,0,48,97
ENSG00000049246,278,103,350,468,83,362,557,52,484,348,167,427
ENSG00000236266,2,0,4,2,1,5,4,0,0,0,2,0
ENSG00000049247,31,9,1,8,7,6,62,18,0,90,4,141
ENSG00000049249,13,182,87,0,796,15,26,364,0,103,1592,0
ENSG00000116288,3749,3459,4000,4524,2991,4114,7499,1730,4036,4639,5983,4126
ENSG00000200344,1,0,1,2,1,2,2,1,116,0,1,89
ENSG00000116285,1064,2487,1314,534,1076,874,532,1244,1191,471,2153,796
ENSG00000238290,8,2,2,1,3,2,4,5,137,92,6,17
ENSG00000232848,0,0,0,0,1,2,0,0,133,0,2,0
ENSG00000227634,0,1,0,0,0,0,0,1,0,18,0,0
ENSG00000162426,144,111,82,66,216,67,288,223,71,165,433,0
ENSG00000252254,0,0,0,0,0,0,0,1,0,19,0,139
ENSG00000142599,6729,5357,6477,4643,7294,4956,3365,10714,6595,4636,3647,4980
ENSG00000232912,3,0,1,1,0,0,2,0,77,0,0,0
ENSG00000221083,0,0,0,0,1,0,1,0,37,95,3,45
ENSG00000270282,1,0,0,0,2,1,1,0,0,6,1,0
ENSG00000234619,0,0,0,1,0,2,0,0,95,69,0,81
ENSG00000224315,0,0,0,2,2,2,0,1,57,0,1,149
ENSG00000226545,1,0,1,0,0,1,0,0,37,87,0,0
ENSG00000228423,4,0,0,0,0,1,8,0,0,81,1,0
ENSG00000229716,0,0,1,0,0,0,0,0,78,128,0,57
ENSG00000074800,27336,39583,41750,31432,13108,30040,54672,79167,41753,31403,6554,29966
