gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000202079,2,0,0,1,1,1,121,0,0,0,3,0
ENSG00000162714,2126,1746,1907,2406,1688,2468,2208,1676,3814,4813,3377,2374
ENSG00000162711,13,7,7,6,13,5,74,0,14,3,7,0
ENSG00000177535,0,0,0,0,0,0,6,118,0,0,0,10
ENSG00000203664,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169224,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000196242,0,0,0,0,0,0,38,0,0,0,0,7
ENSG00000236817,0,0,0,0,0,0,54,133,0,0,0,0
ENSG00000235749,0,1,0,0,0,0,96,0,0,0,0,107
ENSG00000153230,0,1,0,0,0,0,0,51,0,0,0,0
ENSG00000221888,0,0,0,0,0,0,0,0,0,0,0,77
ENSG00000228336,0,0,0,0,0,0,0,6,0,0,0,14
ENSG00000232908,0,0,0,0,0,0,112,0,0,0,0,0
ENSG00000230576,0,0,0,0,0,0,0,0,0,0,1,46
ENSG00000197591,0,0,0,0,0,0,0,127,0,0,0,0
ENSG00000162722,52,467,10,57,118,110,160,448,21,29,236,181
ENSG00000238243,11,111,2,18,29,28,0,0,1,37,58,0
ENSG00000177462,0,4,0,0,2,0,0,0,0,0,4,0
ENSG00000177275,1,0,0,0,0,0,57,0,0,0,0,0
ENSG00000226191,4,2,0,2,3,8,145,47,0,1,7,0
ENSG00000196071,34,8,1,5,15,40,82,134,2,11,8,69
ENSG00000224830,0,0,0,0,0,0,0,61,0,0,1,0
ENSG00000196936,1,0,0,0,0,0,41,91,0,0,1,0
ENSG00000187080,2,0,0,1,0,2,24,0,0,3,0,121
ENSG00000237492,1,0,0,0,1,1,0,37,0,0,0,0
ENSG00000224227,4,1,0,4,2,3,0,0,1,8,1,9
ENSG00000199442,0,0,0,0,0,0,0,136,0,0,0,0
ENSG00000232215,4,0,0,0,0,1,0,120,1,0,0,23
ENSG00000197454,1,0,0,0,0,1,0,68,0,1,0,132
ENSG00000200085,0,0,0,0,0,0,77,0,0,1,0,0
ENSG00000203663,6,0,1,4,4,9,18,0,1,2,2,142
ENSG00000198128,1,0,0,1,1,0,0,0,0,2,2,10
ENSG00000197067,0,0,0,0,0,0,14,0,0,1,0,0
ENSG00000177233,1,0,0,0,0,0,0,122,0,0,0,0
ENSG00000198601,0,0,0,0,0,1,91,59,0,0,0,23
ENSG00000228198,1,0,0,0,0,0,0,26,0,0,0,0
ENSG00000171180,3,0,0,0,0,1,99,146,0,0,0,110
ENSG00000177212,0,0,0,0,0,0,0,11,0,0,0,90
ENSG00000196944,1,0,0,0,0,0,132,0,0,0,0,66
ENSG00000198104,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189181,0,0,0,0,0,0,115,0,0,0,0,85
ENSG00000232694,0,0,0,0,0,1,142,70,0,0,0,22
ENSG00000229663,0,0,0,0,0,0,0,0,1,0,0,136
ENSG00000175137,1048,1753,1343,1028,1181,1071,922,1860,2687,514,2363,1110
ENSG00000171161,1169,903,914,1092,685,1357,1029,973,457,546,1370,1373
ENSG00000171163,874,943,930,916,2031,922,927,848,1861,458,1016,853
ENSG00000227237,0,0,0,0,0,0,136,0,0,0,0,141
ENSG00000185220,308,285,205,325,268,404,241,311,103,163,134,389
ENSG00000200495,0,0,0,0,0,0,44,0,0,0,0,0
ENSG00000233084,1,0,0,0,0,0,62,50,0,0,0,30
ENSG00000184731,11,31,116,2,94,23,128,177,58,1,47,0
ENSG00000227061,0,0,0,0,0,0,106,135,0,0,1,87
ENSG00000035115,643,509,696,725,984,535,751,586,1392,362,1968,664
ENSG00000143727,4049,2809,4770,5553,2887,4339,4047,2758,9540,11106,1444,4229
ENSG00000189292,144,182,399,33,197,40,157,47,200,66,98,161
ENSG00000228643,7,17,17,1,7,2,0,105,9,1,15,0
ENSG00000235779,21,19,24,0,2,7,147,156,12,0,5,4
ENSG00000233684,13,13,16,4,2,6,150,0,33,8,5,0
ENSG00000236856,1,1,5,0,1,2,70,9,3,0,3,75
ENSG00000226277,1,2,3,0,0,0,0,0,2,0,1,0
ENSG00000223985,0,0,0,0,0,1,72,82,0,0,0,44
ENSG00000151353,651,650,749,731,557,638,790,693,1498,1463,1115,655
ENSG00000233296,7,5,31,30,3,10,0,0,16,60,6,18
ENSG00000233970,0,0,4,0,0,0,0,110,2,0,0,0
ENSG00000272342,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231173,0,0,0,0,0,0,8,71,0,0,0,0
ENSG00000223751,7,1,1,5,2,1,0,0,2,2,4,41
ENSG00000237667,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000228799,3,0,0,1,3,1,34,64,0,0,6,87
ENSG00000235688,7,12,7,13,17,13,0,0,14,6,8,0
ENSG00000172554,11,57,4,13,34,24,0,63,2,7,69,0
ENSG00000235403,0,2,0,0,1,0,0,77,0,0,0,0
ENSG00000236665,0,2,0,0,0,1,0,0,0,0,0,87
ENSG00000233553,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115705,5,4,0,0,11,5,0,141,1,0,22,0
ENSG00000228613,0,0,0,0,2,0,95,131,0,0,1,33
