gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000169231,1082,3117,1375,808,4617,1598,1201,3031,1379,404,2309,1549
ENSG00000231064,176,122,265,184,290,289,188,39,355,368,581,333
ENSG00000173171,282,323,334,294,277,295,231,405,308,589,139,410
ENSG00000160766,186,131,267,284,336,254,203,174,312,142,672,327
ENSG00000236675,13,56,14,22,46,20,0,198,13,11,92,153
ENSG00000177628,245,1009,341,360,616,321,194,1057,365,721,308,378
ENSG00000216109,0,2,1,0,0,0,99,0,0,0,0,0
ENSG00000160767,1460,1669,2053,2039,1607,1889,1558,1780,2174,1020,3214,1925
ENSG00000116521,1050,1542,1242,1021,1286,1335,963,1501,1283,511,643,1444
ENSG00000176444,1203,1128,1245,1408,1539,1385,1254,1147,1296,2817,770,1420
ENSG00000143630,763,420,384,745,1677,755,829,333,252,373,3354,619
ENSG00000143627,2,3,0,1,0,2,47,13,17,2,1,0
ENSG00000160752,3233,2150,2445,3800,1253,3768,3213,2012,2499,1900,2506,3841
ENSG00000225855,372,326,176,296,286,389,273,318,305,592,573,309
ENSG00000160753,1417,1320,1261,1254,2470,1255,1318,1401,1123,2509,1235,1339
ENSG00000116539,1720,2067,1316,1751,1758,1631,1582,2003,1192,876,879,1729
ENSG00000207134,0,0,0,0,0,0,0,102,118,0,0,0
ENSG00000227773,1,0,0,0,0,0,147,0,0,0,0,0
ENSG00000238805,0,0,0,0,0,0,77,94,0,0,1,0
ENSG00000237872,1,0,0,0,0,1,0,64,0,0,1,60
ENSG00000235919,56,49,47,52,55,44,91,0,11,105,110,0
ENSG00000271267,5,4,3,6,8,4,0,80,0,3,17,0
ENSG00000225082,1,0,0,1,0,1,62,68,0,2,1,0
ENSG00000223503,0,1,2,1,2,2,121,54,113,0,5,47
ENSG00000232519,1,1,1,2,2,2,0,17,0,4,4,70
ENSG00000125459,139,247,234,148,189,167,145,263,328,296,378,252
ENSG00000203761,34,33,31,29,42,33,0,0,58,59,21,125
ENSG00000246203,10,13,10,7,14,7,155,48,23,15,28,0
ENSG00000163374,865,831,617,808,771,722,910,879,512,404,386,673
ENSG00000132676,1432,2128,1699,1534,1628,1546,1301,2102,1603,767,3257,1540
ENSG00000227673,0,0,0,0,0,0,0,100,118,0,0,127
ENSG00000116580,1431,1513,1667,1066,1321,1542,1441,1538,1588,2133,2642,1471
ENSG00000234937,4,4,0,2,1,2,0,70,140,1,0,0
ENSG00000132718,5911,5288,5473,5577,6224,5276,6031,5204,5397,11154,3112,5294
ENSG00000201614,0,1,0,0,0,0,57,126,0,0,1,58
ENSG00000143622,977,1170,1705,1119,1900,1402,838,1087,1682,2238,950,1354
ENSG00000132680,1439,1669,1783,1350,2111,1444,1345,1650,1789,675,4223,1295
ENSG00000207475,4,3,0,2,2,3,0,0,6,5,1,92
ENSG00000252808,1,1,1,2,1,0,0,87,74,1,3,0
ENSG00000173080,5,4,0,1,2,3,0,48,105,1,1,0
ENSG00000116584,1537,3216,2562,1785,2770,2002,1574,3173,2670,893,5540,1901
ENSG00000273002,13,16,24,14,14,12,0,0,0,29,7,0
ENSG00000224276,1,0,1,1,1,0,0,0,0,0,3,0
