gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000233557,0,0,0,0,1,0,0,0,0,0,105,0
ENSG00000226053,16,41,42,1,23,26,8,77,21,0,45,145
ENSG00000162627,461,708,467,696,357,446,923,575,234,691,232,509
ENSG00000117598,69,75,13,22,213,20,139,149,7,56,209,7
ENSG00000232825,0,0,1,0,5,1,0,0,0,0,0,0
ENSG00000227034,2,4,7,6,3,6,4,46,4,0,0,23
ENSG00000117600,147,123,15,38,798,55,74,211,30,64,674,152
ENSG00000233983,0,0,0,0,0,0,0,0,0,0,119,12
ENSG00000224445,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000099260,39,261,17,15,129,10,78,321,34,56,203,41
ENSG00000223656,2,3,0,0,6,0,1,0,0,0,0,11
ENSG00000156869,82,53,80,72,46,39,165,17,161,0,0,0
ENSG00000162688,883,783,990,1308,850,886,1766,649,495,1333,971,802
ENSG00000228084,6,4,13,6,3,10,3,13,6,50,76,93
ENSG00000117620,441,448,495,538,459,486,883,536,248,613,400,633
ENSG00000261254,39,32,33,30,50,29,79,0,67,119,143,47
ENSG00000156875,1793,1607,2486,2316,1690,2061,3586,1511,4973,2334,1679,2176
ENSG00000241073,0,0,0,0,0,0,0,0,0,63,11,118
ENSG00000156876,456,247,562,778,235,580,913,154,1125,771,151,638
ENSG00000226952,1,0,0,0,1,1,0,0,0,0,46,150
ENSG00000122435,394,327,379,498,418,444,197,389,190,479,357,391
ENSG00000122477,42,38,56,40,97,37,21,0,113,0,0,177
ENSG00000137992,423,474,652,526,425,507,212,423,1304,519,294,483
ENSG00000271415,0,1,0,0,1,0,1,0,0,14,111,63
ENSG00000225169,1,2,3,1,2,1,3,0,2,0,115,0
ENSG00000230287,1,2,0,0,0,0,2,85,1,0,9,0
ENSG00000224616,10,13,15,20,16,14,5,35,8,97,0,0
ENSG00000137996,772,1371,1006,623,953,820,1544,1516,503,495,1063,900
ENSG00000207750,1,1,0,0,0,1,0,0,0,0,0,104
ENSG00000223906,0,0,0,0,0,0,0,0,0,0,0,21
ENSG00000079335,310,161,292,393,161,346,620,28,146,514,247,401
ENSG00000234332,1,0,0,0,0,3,2,0,0,0,0,38
ENSG00000228086,0,0,0,1,0,0,0,0,0,0,64,40
ENSG00000181656,5,6,1,3,11,5,11,0,2,0,0,0
ENSG00000230402,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000162692,143,21,281,477,227,38,72,0,563,390,230,76
ENSG00000162694,1229,953,2419,1631,2087,1111,614,927,4839,1551,1939,1213
ENSG00000162695,711,1143,1279,683,1328,706,356,1027,2559,805,1232,796
ENSG00000230946,5,1,0,1,1,6,10,0,0,0,144,30
ENSG00000117543,359,316,637,555,338,442,719,408,1275,509,478,377
ENSG00000269175,20,16,17,10,20,12,10,19,8,34,167,0
ENSG00000235795,4,1,4,6,3,2,8,0,9,0,0,109
ENSG00000233184,130,106,186,246,176,191,65,160,93,177,297,203
ENSG00000252765,0,0,0,0,0,0,1,0,0,0,0,58
ENSG00000238296,0,0,0,2,0,0,0,0,1,35,132,0
ENSG00000225938,19,0,7,16,1,8,10,0,4,0,85,53
ENSG00000170989,705,307,515,759,225,487,353,448,258,784,153,507
ENSG00000260940,5,1,0,3,0,4,3,0,1,0,0,43
ENSG00000228399,1,1,4,5,2,3,3,0,8,148,126,63
ENSG00000173810,2,0,0,0,0,0,1,82,0,102,93,0
ENSG00000231671,6,0,0,4,2,21,3,149,1,31,0,117
ENSG00000226715,0,0,0,0,0,0,0,0,0,133,0,65
ENSG00000183298,3,4,9,11,4,6,2,91,4,0,127,0
ENSG00000118733,395,27,38,81,126,65,198,121,19,144,112,23
ENSG00000252717,0,0,0,0,0,0,1,6,0,116,16,131
ENSG00000162699,1,0,0,0,0,0,2,0,0,0,130,0
ENSG00000060718,9585,11576,28408,3069,13201,13173,19171,11692,14204,3137,13124,13213
ENSG00000234257,1,1,1,0,0,0,1,102,0,55,116,0
ENSG00000224613,0,0,0,0,0,0,0,128,0,0,0,104
ENSG00000222069,0,0,0,0,0,0,0,0,0,0,52,77
ENSG00000185946,580,394,464,565,660,489,1160,395,929,711,531,531
ENSG00000240038,148,59,79,89,354,54,74,124,40,46,428,0
ENSG00000237763,0,0,0,0,0,0,1,131,0,138,82,97
ENSG00000174876,0,0,0,0,0,0,0,0,0,25,0,0
ENSG00000215869,0,0,0,0,0,0,0,0,0,95,25,0
ENSG00000227850,1,0,0,0,0,0,2,79,1,143,0,110
ENSG00000237897,1,0,0,0,0,2,3,0,0,0,0,0
ENSG00000232952,3,2,1,5,3,7,6,67,3,69,119,0
ENSG00000198890,887,844,960,1189,489,1151,444,762,480,1111,389,1089
ENSG00000162631,68,252,107,36,182,147,34,177,215,0,235,61
ENSG00000224550,4,4,6,7,5,5,2,43,12,68,98,0
ENSG00000134215,119,226,95,11,270,34,60,134,48,0,233,97
ENSG00000230489,0,0,0,0,0,0,0,0,0,0,11,0
ENSG00000226822,0,0,0,0,0,0,0,3,0,0,108,58
ENSG00000085491,1019,1870,2362,1900,948,1712,510,1745,1181,1799,902,1633
ENSG00000260879,21,11,15,16,15,11,11,32,31,0,0,121
ENSG00000241361,0,1,0,0,0,0,0,0,0,101,0,0
ENSG00000162636,737,573,584,1050,377,796,1475,424,1169,967,523,754
ENSG00000162639,38,95,70,24,52,31,77,148,35,0,152,0
ENSG00000134186,2284,2239,2124,2170,2774,2159,4569,2120,4248,2318,2804,2079
ENSG00000143107,5,15,8,4,9,1,10,148,4,0,128,0
ENSG00000232971,0,0,0,0,0,0,0,0,0,0,0,33
ENSG00000116266,629,932,1111,867,1065,702,315,975,556,857,1005,827
ENSG00000228076,0,0,0,0,0,0,0,12,0,0,26,0
ENSG00000162641,7,5,2,5,2,2,4,15,1,0,25,0
ENSG00000203897,1,2,0,0,1,0,2,87,0,26,0,45
ENSG00000121957,707,373,899,1261,187,611,1415,315,1798,1292,159,677
ENSG00000121940,482,761,613,470,528,555,965,872,306,507,463,533
ENSG00000085433,1174,1063,680,887,1753,991,587,1004,1360,785,1632,1068
ENSG00000237349,1,1,0,0,2,0,2,0,1,0,43,0
ENSG00000244716,1,0,1,1,0,0,3,0,3,0,0,0
ENSG00000228665,3,0,4,5,1,2,2,64,2,76,0,0
ENSG00000197780,378,919,572,275,609,396,189,968,1144,188,491,471
ENSG00000273382,12,49,5,9,14,15,25,0,11,7,26,0
ENSG00000215717,778,1096,1176,932,1306,892,389,1175,2353,965,1280,1009
ENSG00000270066,6,3,0,5,2,2,12,0,1,0,0,0
ENSG00000251484,9,5,1,5,3,4,4,0,2,82,0,6
ENSG00000179902,32,19,26,32,60,21,16,0,13,0,71,0
ENSG00000116299,203,367,179,121,550,153,102,479,90,163,422,173
ENSG00000031698,4772,9512,8995,3873,5876,3922,2386,9535,17991,3893,5992,3898
ENSG00000143126,6639,5671,6022,7856,6743,8073,3320,5666,12044,7941,6783,8027
ENSG00000134222,1085,576,1916,2299,334,1656,542,537,3833,2407,239,1580
ENSG00000221986,4,8,1,2,8,6,2,155,0,0,0,0
ENSG00000134243,3161,7229,4461,3890,5239,5263,6322,7188,8923,3938,5356,5346
ENSG00000143106,2332,2485,2639,2403,2300,2520,4664,2584,1320,2348,2181,2384
ENSG00000143028,24,43,31,7,98,6,12,139,16,0,218,151
ENSG00000162650,810,456,295,570,926,564,405,425,148,438,937,442
ENSG00000174151,405,778,360,346,598,264,810,925,721,412,509,182
ENSG00000181754,225,281,357,503,583,231,113,387,715,525,441,213
ENSG00000156097,22,15,8,9,69,17,11,0,16,0,133,5
ENSG00000065135,3546,3354,3467,3800,3054,3610,7093,3484,1734,3902,3007,3474
