gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000219133,3,3,5,6,3,3,2,30,10,12,0,0
ENSG00000226330,7,4,1,7,3,9,4,0,3,4,2,0
ENSG00000237848,0,0,0,0,1,0,0,0,0,0,0,61
ENSG00000158615,1550,1993,2435,1780,1613,1604,775,1859,4871,3560,1708,1481
ENSG00000133056,2101,1022,864,1964,1340,1410,4202,983,432,3929,1262,1366
ENSG00000198625,2358,1554,1906,2022,2240,2200,4716,1529,953,4045,2220,2088
ENSG00000236779,1,1,0,0,1,3,0,99,0,1,29,92
ENSG00000240710,2,2,2,0,2,2,1,133,4,0,113,81
ENSG00000170382,373,808,546,474,751,508,747,925,273,237,626,643
ENSG00000240219,6,25,8,6,26,11,3,68,17,3,0,0
ENSG00000252731,0,0,0,1,0,0,0,60,0,0,0,0
ENSG00000228153,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163531,4794,3320,602,1320,7852,2334,2397,3343,301,2641,7863,2268
ENSG00000229657,1,8,0,0,2,0,3,82,0,1,114,32
ENSG00000184144,489,371,298,318,250,304,245,308,149,636,313,232
ENSG00000174529,109,107,72,80,157,74,218,248,36,161,224,60
ENSG00000117222,807,798,650,816,541,748,404,722,325,1632,392,850
ENSG00000271580,11,8,7,5,12,9,6,24,4,3,0,0
ENSG00000236108,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000133059,937,1381,1022,885,834,990,469,1464,2045,442,881,1009
ENSG00000213041,2,0,0,1,0,2,4,0,0,0,0,0
ENSG00000133069,1031,739,434,698,853,773,516,874,869,349,845,796
ENSG00000225063,1,0,0,1,1,1,0,136,0,2,0,0
ENSG00000163545,1837,4017,3415,1733,2302,2776,919,4021,1708,3467,2420,2640
ENSG00000162873,1007,446,350,800,1173,1205,2015,448,175,400,1259,1111
ENSG00000235363,8,0,3,5,6,9,16,112,2,11,0,0
ENSG00000226235,18,7,4,12,31,24,9,119,2,6,32,0
ENSG00000186007,166,37,90,205,152,372,333,0,45,103,273,488
ENSG00000199059,0,1,0,0,1,0,0,0,0,0,78,48
ENSG00000224717,124,25,56,216,37,184,62,119,113,108,82,275
ENSG00000117266,219,205,209,325,126,275,110,302,104,163,226,288
ENSG00000174514,65,32,42,49,74,48,131,0,21,24,6,0
ENSG00000206762,7,1,5,8,5,7,4,76,3,16,0,108
ENSG00000158711,829,1001,983,780,743,717,414,1129,492,1561,842,754
