"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000215833",20.263721925431,21.9976727339695,3.00462530443909,7.32126987730206,2.4563526973433e-13,1.12992224077792e-11,"up"
"ENSG00000117560",21.7650035512929,22.0995628633637,3.00452528882749,7.35542581237119,1.90319436099603e-13,1.12992224077792e-11,"up"
"ENSG00000235736",13.7976126734772,21.4653699580521,3.00530408853359,7.142495177094,9.16517337651475e-13,2.81065316879786e-11,"up"
"ENSG00000224837",31.9301902205991,4.56866856637363,1.05455982031465,4.33229910562159,1.47560287096993e-05,0.000339388660323083,"up"
"ENSG00000233411",26.7148461961571,7.63679183889486,1.85067510559471,4.12648974193707,3.683424263196e-05,0.000677750064428063,"up"
"ENSG00000229588",19.2926253185355,7.16529593679251,2.02698790739992,3.5349475498271,0.000407856106513629,0.00536039454275056,"up"
"ENSG00000203260",19.5202268607546,7.18375841219239,2.01585554487329,3.56362757761194,0.000365764799610848,0.00536039454275056,"up"
"ENSG00000251943",25.6979102765078,7.58071371769022,2.26855029084386,3.34165557108736,0.000832803320855451,0.00957723818983769,"up"
"ENSG00000238087",16.8494950606472,7.45791831655647,2.28736941553489,3.26047828824906,0.0011122448228269,0.0113696137444527,"up"
"ENSG00000232751",24.8540535924088,8.01896987274276,2.51317303933103,3.19077506691592,0.00141891701230141,0.0130540365131729,"up"
"ENSG00000201126",19.8916188724159,7.69759243503396,2.5761564174521,2.98801438565098,0.00280796337233834,0.0223065391878569,"up"
"ENSG00000207949",18.8695525289228,6.11218588442331,2.0530421747885,2.97713605666818,0.00290954858972046,0.0223065391878569,"up"
"ENSG00000226292",14.2595092516547,5.77021335439777,2.03717858738937,2.83245336963425,0.00461923029714826,0.0292065590089752,"up"
"ENSG00000232194",22.2611157049239,7.91015952740766,2.77035399599205,2.85528836345518,0.00429977692292348,0.0292065590089752,"up"
"ENSG00000233985",17.6147434593843,7.03455470724379,2.49212663511542,2.82271157818511,0.00476193896885465,0.0292065590089752,"up"
"ENSG00000226375",21.2913730324518,6.35352423922317,2.28248032351016,2.78360526212654,0.00537584155271146,0.0309110889280909,"up"
"ENSG00000143196",17.5290504951989,6.5400204047569,2.50971892214154,2.60587763317189,0.00916391938114702,0.046837810170307,"up"
"ENSG00000203740",22.3107852452806,3.70393469521832,1.42134321230415,2.60593969363237,0.00916225918169613,0.046837810170307,"up"
