gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000271810,0,0,0,0,1,0,0,104,1,0,28,99
ENSG00000155367,25,41,36,15,49,24,12,0,18,0,198,103
ENSG00000261595,1,1,0,0,0,1,3,0,0,0,138,116
ENSG00000184599,1,7,0,2,3,1,2,0,1,0,0,0
ENSG00000234790,0,0,0,0,0,0,1,0,0,29,0,0
ENSG00000215866,2,6,3,1,3,0,1,0,7,60,0,0
ENSG00000224167,0,5,3,1,1,2,0,0,2,91,0,45
ENSG00000228040,0,0,0,0,0,0,0,24,0,0,0,1
ENSG00000155380,3921,4863,5850,5957,5164,5073,3945,4773,11700,2978,5248,2536
ENSG00000229020,4,5,9,7,11,13,0,0,4,15,148,6
ENSG00000226419,28,41,26,45,10,40,0,0,53,90,57,81
ENSG00000236066,2,1,2,0,3,4,0,0,1,0,94,9
ENSG00000238198,8,5,5,6,14,5,0,75,3,12,0,3
ENSG00000198799,887,975,867,855,1204,949,976,977,434,428,1142,1899
ENSG00000233839,1,0,1,0,0,1,67,0,2,0,92,2
ENSG00000236887,0,0,0,0,0,0,47,0,0,0,61,0
ENSG00000081026,1290,820,757,1221,754,841,1417,696,378,611,792,1683
ENSG00000232499,2,3,1,2,1,3,29,45,3,5,0,2
ENSG00000238256,0,0,0,0,0,0,0,12,0,0,0,1
ENSG00000116793,1757,1429,1570,1969,1944,2042,1694,1550,785,985,1841,1021
ENSG00000232450,39,33,51,57,72,60,141,0,26,114,0,120
ENSG00000081019,1082,632,1014,1436,1067,989,1124,555,2028,2873,1134,495
ENSG00000231128,1,0,0,0,1,0,0,127,0,0,0,0
ENSG00000134242,2,6,1,3,2,1,0,30,3,6,0,2
ENSG00000226167,21,18,8,14,18,10,65,0,4,28,0,5
ENSG00000188761,23,14,11,13,29,14,0,66,6,6,0,28
ENSG00000134262,436,353,315,380,481,341,434,408,158,760,598,682
ENSG00000118655,657,478,616,775,228,642,679,602,1233,1551,357,1284
ENSG00000235527,4,5,1,2,3,1,10,144,3,4,0,1
ENSG00000163349,1943,2504,3133,2450,2137,2339,1905,2376,1566,4901,2147,4678
ENSG00000116774,140,724,78,17,136,62,259,605,156,8,255,31
ENSG00000270780,0,0,0,0,0,0,0,129,0,0,0,0
