gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000264349,4,3,3,5,2,5,147,0,14,10,4,28
ENSG00000160688,893,1125,1275,1313,934,1066,838,1018,1278,657,467,1049
ENSG00000163352,3,2,0,0,1,0,0,0,144,0,0,0
ENSG00000160685,192,1156,483,190,497,259,87,1047,423,381,248,192
ENSG00000163354,42,16,50,57,55,25,182,0,170,29,110,0
ENSG00000163357,18,11,23,39,13,8,0,122,0,79,6,0
ENSG00000232093,44,26,56,98,23,40,179,129,6,197,46,20
ENSG00000143537,1167,3172,1602,1226,1306,1317,1095,3036,1563,2453,653,1426
ENSG00000243364,305,316,372,553,513,524,231,202,481,277,1026,452
ENSG00000143590,219,80,118,153,424,163,238,0,82,306,849,158
ENSG00000169242,66,269,94,24,306,49,0,397,159,49,153,95
ENSG00000169241,267,494,419,323,365,323,171,590,496,162,731,201
ENSG00000179085,226,162,457,352,259,254,98,25,399,704,518,231
ENSG00000223452,0,0,0,0,0,0,41,0,0,0,0,0
ENSG00000163463,166,157,151,140,231,148,35,306,91,70,116,86
ENSG00000163462,1101,657,422,747,1707,878,968,656,387,374,854,922
ENSG00000185499,206,379,247,133,1216,204,170,465,152,67,608,202
ENSG00000271748,2,0,4,2,3,3,0,141,0,1,2,0
ENSG00000169231,1082,3117,1375,808,4617,1598,1201,3031,1379,404,2309,1549
ENSG00000231064,176,122,265,184,290,289,188,39,355,368,581,333
ENSG00000173171,282,323,334,294,277,295,231,405,308,589,139,410
ENSG00000160766,186,131,267,284,336,254,203,174,312,142,672,327
ENSG00000236675,13,56,14,22,46,20,0,198,13,11,92,153
ENSG00000177628,245,1009,341,360,616,321,194,1057,365,721,308,378
ENSG00000216109,0,2,1,0,0,0,99,0,0,0,0,0
ENSG00000160767,1460,1669,2053,2039,1607,1889,1558,1780,2174,1020,3214,1925
ENSG00000116521,1050,1542,1242,1021,1286,1335,963,1501,1283,511,643,1444
ENSG00000176444,1203,1128,1245,1408,1539,1385,1254,1147,1296,2817,770,1420
ENSG00000143630,763,420,384,745,1677,755,829,333,252,373,3354,619
ENSG00000143627,2,3,0,1,0,2,47,13,17,2,1,0
ENSG00000160752,3233,2150,2445,3800,1253,3768,3213,2012,2499,1900,2506,3841
ENSG00000225855,372,326,176,296,286,389,273,318,305,592,573,309
ENSG00000160753,1417,1320,1261,1254,2470,1255,1318,1401,1123,2509,1235,1339
ENSG00000116539,1720,2067,1316,1751,1758,1631,1582,2003,1192,876,879,1729
ENSG00000207134,0,0,0,0,0,0,0,102,118,0,0,0
ENSG00000227773,1,0,0,0,0,0,147,0,0,0,0,0
ENSG00000238805,0,0,0,0,0,0,77,94,0,0,1,0
ENSG00000237872,1,0,0,0,0,1,0,64,0,0,1,60
ENSG00000235919,56,49,47,52,55,44,91,0,11,105,110,0
ENSG00000271267,5,4,3,6,8,4,0,80,0,3,17,0
ENSG00000225082,1,0,0,1,0,1,62,68,0,2,1,0
ENSG00000223503,0,1,2,1,2,2,121,54,113,0,5,47
ENSG00000232519,1,1,1,2,2,2,0,17,0,4,4,70
ENSG00000125459,139,247,234,148,189,167,145,263,328,296,378,252
ENSG00000203761,34,33,31,29,42,33,0,0,58,59,21,125
ENSG00000246203,10,13,10,7,14,7,155,48,23,15,28,0
ENSG00000163374,865,831,617,808,771,722,910,879,512,404,386,673
ENSG00000132676,1432,2128,1699,1534,1628,1546,1301,2102,1603,767,3257,1540
ENSG00000227673,0,0,0,0,0,0,0,100,118,0,0,127
ENSG00000116580,1431,1513,1667,1066,1321,1542,1441,1538,1588,2133,2642,1471
ENSG00000234937,4,4,0,2,1,2,0,70,140,1,0,0
ENSG00000132718,5911,5288,5473,5577,6224,5276,6031,5204,5397,11154,3112,5294
ENSG00000201614,0,1,0,0,0,0,57,126,0,0,1,58
ENSG00000143622,977,1170,1705,1119,1900,1402,838,1087,1682,2238,950,1354
ENSG00000132680,1439,1669,1783,1350,2111,1444,1345,1650,1789,675,4223,1295
ENSG00000207475,4,3,0,2,2,3,0,0,6,5,1,92
ENSG00000252808,1,1,1,2,1,0,0,87,74,1,3,0
ENSG00000173080,5,4,0,1,2,3,0,48,105,1,1,0
ENSG00000116584,1537,3216,2562,1785,2770,2002,1574,3173,2670,893,5540,1901
ENSG00000273002,13,16,24,14,14,12,0,0,0,29,7,0
ENSG00000224276,1,0,1,1,1,0,0,0,0,0,3,0
ENSG00000163479,3409,5644,4159,3748,4585,3222,3527,5702,4116,7496,9171,3282
ENSG00000160803,1255,1210,1109,1489,1149,1310,1377,1068,1257,2978,2299,1209
ENSG00000116586,556,744,698,736,694,538,705,807,771,1472,347,639
ENSG00000132698,10,5,5,8,12,12,0,14,129,4,6,0
ENSG00000254726,5951,4529,6678,7496,5074,7450,5934,4584,6745,14993,2537,7377
ENSG00000160789,1746,10194,2510,1232,2601,2088,1603,10167,2626,2465,1300,2043
ENSG00000196189,136,108,108,114,634,135,14,0,0,228,317,226
ENSG00000252236,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160785,1058,1622,851,777,1246,823,1136,1547,792,389,623,744
ENSG00000260238,0,0,0,0,0,0,80,70,148,1,0,60
ENSG00000160783,756,402,716,923,335,672,803,378,572,462,168,533
ENSG00000242252,18,11,14,10,12,14,50,9,161,5,6,30
ENSG00000160781,473,271,140,423,443,293,530,353,241,212,222,194
ENSG00000198952,3956,5192,4435,3636,2842,4210,4093,5235,4300,7273,1421,4095
ENSG00000163472,75,102,169,95,150,87,17,224,305,48,301,0
ENSG00000198715,199,405,483,164,502,204,329,300,425,328,1005,222
ENSG00000189030,0,2,0,2,6,0,0,0,0,1,13,0
ENSG00000163468,8740,9651,8976,10019,6502,9468,8758,9791,8846,5010,13004,9479
ENSG00000228155,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000163467,9,27,19,16,18,22,150,111,72,8,9,0
ENSG00000132677,1,0,0,2,1,0,150,79,0,4,0,3
ENSG00000237390,1,2,0,2,0,0,0,24,0,1,1,0
ENSG00000125462,2013,10,15,1019,129,22,2088,0,0,2038,65,147
ENSG00000207933,0,0,0,0,0,0,0,117,0,0,0,0
ENSG00000236947,7,6,6,5,7,7,0,23,0,2,14,25
ENSG00000116604,918,1835,700,639,1391,822,1015,1913,779,1279,696,848
ENSG00000206651,1,1,0,0,1,0,0,47,61,0,0,42
ENSG00000260460,0,0,0,0,0,0,0,0,0,0,0,12
ENSG00000183856,1659,1173,2483,1996,397,1882,1621,1084,2406,998,794,1984
ENSG00000238843,0,0,1,0,0,0,115,0,0,0,0,38
