"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000244433",21.2495449908753,22.1057160286685,2.72652000100767,8.1076669235871,5.16009533426838e-16,9.03016683496967e-14,"up"
"ENSG00000229201",18.3357853811877,21.9042646448914,2.80039804707299,7.82183970874639,5.20568695168803e-15,4.55497608272702e-13,"up"
"ENSG00000232878",16.3833204460192,21.7477324791958,2.85803617884089,7.6093272157303,2.75526381506289e-14,1.60723722545335e-12,"up"
"ENSG00000226715",14.4680500752198,21.5748804251522,2.93168908106531,7.35919800107601,1.8501842588811e-13,6.47564490608384e-12,"up"
"ENSG00000224613",18.7607341893958,20.5706341416738,2.78790052643971,7.37853949471559,1.60035320350062e-13,6.47564490608384e-12,"up"
"ENSG00000232857",13.8205725666438,21.5089063989599,2.98581889133529,7.20368755833711,5.86055724209726e-13,1.7093291956117e-11,"up"
"ENSG00000233983",11.029220198641,21.1949047028196,3.00563215859465,7.05172941479632,1.76707581772819e-12,4.41768954432046e-11,"up"
"ENSG00000237763",35.1509919463388,8.56565627563969,1.69487961870685,5.05384345949896,4.33006553803615e-07,9.47201836445409e-06,"up"
"ENSG00000229067",29.2668696086678,6.4074347061778,1.36426590474709,4.69661719455314,2.64505499990224e-06,5.1431624998099e-05,"up"
"ENSG00000203910",34.3709050638423,4.92332222434694,1.08665693967645,4.53070517896187,5.87871292056483e-06,0.000102877476109885,"up"
"ENSG00000223787",22.7513170833663,7.45098667144485,1.74684894953949,4.26538692621883,1.99556061044763e-05,0.000293506308418624,"up"
"ENSG00000227850",25.541225799091,7.61941988030191,1.78713348568489,4.2634867184428,2.01261468629913e-05,0.000293506308418624,"up"
"ENSG00000226128",26.3295647839385,8.1484990486313,1.95848194399864,4.16061995036547,3.17384866646473e-05,0.000427248858947176,"up"
"ENSG00000252717",20.4157846678943,7.78203254529971,1.92086193620045,4.05132320998192,5.09287992164929e-05,0.000636609990206161,"up"
"ENSG00000233129",22.4055186071424,7.91580256170614,1.98350786666217,3.9908097642319,6.58480833206914e-05,0.0007682276387414,"up"
"ENSG00000198691",53.4624525234731,2.86948830414065,0.729647030444544,3.9327074385438,8.39944415936024e-05,0.000918689204930026,"up"
"ENSG00000233125",22.4471161314873,5.03089848601591,1.34276428896383,3.74667283555634,0.000179195551891353,0.00184466009299923,"up"
"ENSG00000228399",28.2010215825745,4.36409565392614,1.20308550401358,3.6274193640994,0.000286268135361349,0.00278316242712422,"up"
"ENSG00000178596",26.4290659990215,8.15421875405919,2.25785132116439,3.61149499864057,0.000304436956247185,0.00280402459701355,"up"
"ENSG00000234257",22.4058751176625,6.45254414216417,1.80058196258318,3.58358812664497,0.000338906347641559,0.00296543054186364,"up"
"ENSG00000230735",19.9823924846781,5.06997480197849,1.42765819523589,3.55125254693109,0.000383402332567446,0.00319501943806205,"up"
"ENSG00000270911",17.7514360866311,5.35662363011083,1.52985810740589,3.50138591558259,0.000462845087031849,0.00368172228320789,"up"
