gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000187942,2,11,6,3,4,5,5,0,12,141,2,32
ENSG00000142798,2887,17442,4920,2257,2531,4696,1444,17475,9840,2289,5063,4745
ENSG00000232037,1,2,1,1,0,1,0,0,0,0,0,0
ENSG00000219073,0,0,0,0,0,0,0,64,0,0,0,35
ENSG00000264385,0,0,0,0,0,0,0,0,0,114,0,0
ENSG00000142789,0,0,0,0,0,0,0,0,0,76,0,22
ENSG00000228397,0,1,1,0,1,0,0,65,2,23,1,0
ENSG00000218510,171,131,226,239,258,213,86,153,113,193,129,158
ENSG00000070831,3743,4581,3663,3354,5220,3661,7487,4602,7327,3369,10440,3517
ENSG00000230068,2,0,0,0,0,2,5,86,0,0,0,0
ENSG00000271428,3,1,0,1,0,1,2,0,0,29,0,0
ENSG00000271840,2,3,2,3,1,4,1,0,4,152,2,115
ENSG00000162552,588,498,85,56,467,324,1176,368,171,143,234,435
ENSG00000234397,4,5,5,7,4,5,2,90,2,82,2,0
ENSG00000184677,1910,1788,1329,1754,1708,1970,3820,1718,665,1651,854,1935
ENSG00000237200,3,5,1,2,2,5,2,150,1,0,5,0
ENSG00000070886,25,16,1,3,22,9,51,0,1,0,45,0
ENSG00000133216,2528,4883,2867,2866,3030,2504,1264,4984,5734,2900,1515,2547
ENSG00000265422,0,0,0,0,0,0,1,147,0,0,0,101
ENSG00000225952,1,0,0,0,0,0,3,0,0,0,1,146
ENSG00000272796,655,876,569,937,1174,567,328,998,1139,935,2349,600
ENSG00000215906,0,0,0,0,0,0,0,94,0,148,0,0
ENSG00000227868,2,3,3,0,1,1,4,60,7,0,3,63
ENSG00000004487,7239,6531,8195,8662,6604,7358,14479,6629,4098,8649,13208,7316
ENSG00000240553,2,2,0,3,1,2,1,0,0,0,0,105
ENSG00000263793,0,0,1,0,0,0,0,77,0,42,0,38
ENSG00000266802,1,0,0,0,0,1,0,76,0,0,0,0
ENSG00000169641,1495,4631,3400,1469,2043,2566,2990,4770,1700,1321,1022,2694
ENSG00000229010,2,0,0,0,3,2,5,131,0,70,6,0
ENSG00000206935,0,0,0,0,0,0,0,0,0,0,1,3
ENSG00000252578,0,0,0,0,0,0,0,0,0,103,0,57
ENSG00000179546,7,112,1,32,12,39,4,240,1,9,6,0
ENSG00000215381,1,1,1,1,0,1,2,0,3,0,0,0
ENSG00000261326,198,289,352,248,802,210,99,324,705,391,401,193
ENSG00000125944,10609,6560,8995,13521,4823,9711,21219,6687,17990,13515,2412,9852
ENSG00000125945,859,627,405,866,823,748,1718,695,202,930,1647,797
ENSG00000249087,100,130,149,190,211,112,50,59,74,128,422,188
ENSG00000271420,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204219,15,30,22,16,18,23,30,0,44,44,37,42
ENSG00000232482,0,0,0,0,1,1,0,62,0,0,0,0
ENSG00000088280,1535,1534,2254,2688,994,2196,3070,1455,4508,2781,1988,2066
ENSG00000007968,765,146,867,1683,47,1116,1531,276,434,1722,24,1015
ENSG00000235052,0,1,2,2,1,2,0,0,4,0,3,0
ENSG00000117318,794,1111,4586,528,1147,1951,397,1025,9173,509,2295,2090
ENSG00000197880,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142676,15312,11974,18307,21210,10204,17741,30625,11869,36615,21305,5102,17665
ENSG00000203589,2,1,0,0,1,4,1,0,1,33,3,78
ENSG00000244609,3,2,0,3,0,4,2,0,1,83,0,0
ENSG00000011007,1507,2119,1418,1514,1458,1526,754,1987,709,1428,729,1378
ENSG00000236810,14,12,31,21,17,12,7,34,16,17,35,69
ENSG00000057757,1375,1078,1504,1439,1445,1053,2750,1209,3009,1452,722,1032
ENSG00000011009,1275,1608,1424,1339,1727,1512,638,1574,712,1399,3454,1650
ENSG00000117308,676,939,817,748,778,727,1352,1014,408,843,389,842
ENSG00000117305,360,554,630,344,426,324,721,677,1260,480,213,280
ENSG00000179163,272,828,268,191,597,319,136,778,134,261,1195,176
ENSG00000188822,1,1,0,0,0,2,2,0,0,50,1,147
ENSG00000229106,0,0,0,0,0,0,0,88,1,0,0,90
ENSG00000189266,142,98,268,250,149,196,71,45,537,135,75,277
ENSG00000188529,379,247,540,527,306,440,758,371,270,494,153,396
ENSG00000142661,2,51,5,2,2,2,1,153,3,118,1,119
ENSG00000142677,1,4,0,0,1,1,0,88,1,81,1,88
ENSG00000185436,70,47,75,83,93,157,35,42,38,178,187,223
ENSG00000230023,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000232298,0,0,0,0,0,1,0,122,0,148,0,87
ENSG00000158055,44,58,23,10,16,316,22,94,12,0,8,365
ENSG00000001460,122,199,262,177,148,192,61,262,525,122,296,164
ENSG00000001461,176,1239,453,226,805,238,88,1223,906,192,1611,155
ENSG00000117602,284,701,237,201,318,364,569,762,475,153,159,378
ENSG00000266551,0,0,0,0,0,0,0,118,0,15,0,0
ENSG00000264443,0,0,0,0,0,0,0,0,0,93,0,0
ENSG00000184454,0,1,0,1,0,0,0,137,0,33,0,0
ENSG00000133226,3584,3032,3536,3654,2620,3644,1792,2975,1768,3522,1310,3576
ENSG00000238986,1,0,0,0,0,0,0,0,0,0,0,63
ENSG00000169504,4936,8959,9386,5804,5553,5169,2468,9108,4693,5713,11107,5239
ENSG00000020633,3,26,0,0,1,4,7,0,0,0,0,65
ENSG00000229162,0,0,0,0,0,0,0,0,0,19,0,0
ENSG00000261025,0,2,1,0,0,3,1,0,2,101,0,110
ENSG00000117614,959,810,1090,1178,949,1077,1919,706,2180,1081,1898,1054
ENSG00000117616,875,1638,1120,761,2842,874,1750,1525,560,910,5685,765
ENSG00000272432,5,3,4,5,5,4,2,0,8,44,11,40
ENSG00000261349,0,2,0,2,8,6,0,73,0,0,4,79
ENSG00000187010,1,11,0,7,10,10,0,6,17,4,5,5
ENSG00000224183,0,0,0,1,1,0,0,0,30,3,2,0
ENSG00000259984,0,0,0,0,1,0,0,0,104,0,2,0
ENSG00000183726,1663,2782,2476,1841,2916,1638,1553,5565,2593,920,5833,819
ENSG00000252515,0,0,0,0,0,0,0,1,57,0,0,0
ENSG00000238889,0,0,0,0,1,2,0,0,43,0,0,5
ENSG00000188672,5,4,4,2,5,4,133,9,0,1,10,8
ENSG00000238084,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204178,1170,1388,645,716,1617,908,1111,2776,697,1433,809,454
ENSG00000157978,315,562,195,203,83,281,220,281,198,102,42,563
ENSG00000225643,3,3,2,4,0,1,0,6,41,8,0,0
ENSG00000117643,284,289,103,129,110,128,207,144,0,64,55,64
ENSG00000233478,2,2,0,0,0,0,123,1,0,0,0,0
