gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000271914,18,19,44,21,52,22,9,0,88,153,0,45
ENSG00000126070,1175,1049,1088,1007,1765,1206,588,1021,2176,865,1872,2413
ENSG00000271554,2,1,0,4,3,1,4,92,1,7,36,1
ENSG00000232862,7,4,3,11,9,10,4,5,2,0,84,5
ENSG00000092850,332,57,322,476,299,316,664,0,644,387,254,633
ENSG00000116863,819,763,877,820,820,783,410,682,1755,837,747,392
ENSG00000171812,5,47,11,4,5,10,2,32,23,75,122,5
ENSG00000054116,861,1619,1357,981,1715,1012,1722,1757,2715,1040,1718,506
ENSG00000116871,6090,7341,4250,5595,8555,6431,12180,7288,8500,5654,8699,3216
ENSG00000054118,5256,5557,5330,5874,3929,5336,2628,5518,10661,5797,3894,2668
ENSG00000214193,71,75,164,92,139,112,142,40,82,164,159,225
ENSG00000142694,85,208,221,97,213,131,42,255,110,152,191,66
ENSG00000116883,55,51,71,35,110,55,28,161,142,0,80,110
ENSG00000196182,2376,2728,2736,2839,2251,2644,4753,2584,1368,2803,2318,5289
ENSG00000181817,425,654,623,431,590,555,212,585,1247,534,664,1111
ENSG00000116885,234,148,307,239,207,270,117,181,154,175,325,135
ENSG00000201448,0,0,0,1,0,0,1,0,0,35,0,0
ENSG00000116898,1231,1370,1525,1414,873,1418,2462,1426,3050,1370,1005,2837
ENSG00000119535,1,1,1,0,2,3,2,0,2,0,113,7
ENSG00000163873,509,496,14,4970,4795,1362,1018,629,7,5033,4886,681
ENSG00000223944,0,0,0,0,0,0,0,119,1,144,0,0
ENSG00000230451,0,0,0,0,1,0,0,59,0,0,0,1
ENSG00000233621,9,99,15,11,51,9,18,222,8,0,163,5
ENSG00000163874,55,467,62,130,167,85,28,577,124,64,24,170
ENSG00000163875,1748,1090,1287,1836,1722,1530,3496,959,2575,1702,1688,765
ENSG00000263675,5,3,4,5,4,4,3,29,2,0,145,2
ENSG00000163877,540,519,534,621,485,613,1080,609,267,516,593,1227
ENSG00000232273,2,0,0,1,2,1,1,0,0,7,0,1
ENSG00000237749,2,2,2,5,1,2,1,0,5,9,0,1
ENSG00000163879,967,501,1701,1367,1194,1376,1934,358,3403,1307,1329,2752
ENSG00000134697,2626,2203,2389,2779,2026,3217,5253,2266,4778,2703,2142,6435
ENSG00000169218,1316,29,342,168,4,1120,2633,144,684,123,0,560
ENSG00000116922,651,657,884,853,456,757,1302,543,1769,980,307,1515
ENSG00000134690,1839,1072,2494,2952,223,1902,920,1119,1247,3015,106,3804
ENSG00000183317,261,112,16,120,462,92,522,78,33,65,461,46
ENSG00000200421,0,0,0,0,0,0,1,0,0,36,0,0
ENSG00000238871,0,0,0,0,0,0,0,145,0,0,78,0
ENSG00000214141,0,1,0,0,0,0,1,32,0,20,37,0
ENSG00000227416,1,0,0,0,2,0,2,0,0,58,91,1
ENSG00000185090,347,181,54,336,476,301,174,265,27,357,575,150
ENSG00000196449,373,807,536,319,398,571,746,658,268,229,301,1142
ENSG00000197982,685,902,966,851,936,1022,342,892,483,813,1005,2044
ENSG00000188786,569,703,560,562,469,578,285,759,1120,522,539,289
ENSG00000230610,0,0,0,0,0,0,1,129,0,0,76,0
ENSG00000235673,0,0,0,0,0,0,0,0,1,102,78,0
ENSG00000204084,485,598,731,557,362,496,971,743,1462,423,423,248
ENSG00000252448,0,1,0,1,0,0,0,0,0,0,56,0
ENSG00000222282,0,0,1,0,0,0,0,0,2,0,0,0
ENSG00000183431,3407,2833,3363,3782,2487,3765,6815,2792,1682,3675,2430,7531
ENSG00000212541,4,26,6,5,14,10,2,0,3,71,152,21
ENSG00000183386,543,1360,481,327,666,572,1087,1339,963,308,525,1145
ENSG00000183520,1061,899,977,934,777,1021,530,936,1955,959,759,510
ENSG00000185668,148,266,30,205,186,62,74,227,15,283,127,31
ENSG00000224592,11,27,6,22,14,8,23,95,3,0,0,4
ENSG00000223589,0,0,0,0,0,0,0,0,0,0,102,0
ENSG00000237290,0,0,1,0,2,0,1,0,3,0,0,0
ENSG00000215895,0,8,4,0,8,3,0,0,9,31,40,7
ENSG00000116954,730,1134,753,592,874,712,365,1179,376,508,772,1424
ENSG00000228436,13,13,12,11,11,12,26,96,24,0,115,24
ENSG00000214114,328,324,416,316,221,365,656,386,832,361,252,731
ENSG00000131233,1,0,0,1,1,1,3,0,0,0,0,2
ENSG00000158315,7,17,9,8,22,14,4,128,18,0,115,7
ENSG00000199963,0,0,0,0,1,0,0,11,0,0,0,0
ENSG00000235549,0,0,0,0,0,0,0,6,0,0,88,1
ENSG00000174574,3349,3704,4176,3675,3038,3863,6699,3568,8352,3629,3127,1932
ENSG00000168653,3438,2275,3921,4247,2471,3651,1719,2175,1960,4327,2353,1826
ENSG00000127603,12756,31931,13859,11288,18853,16588,6378,31812,6930,11371,18933,8294
ENSG00000206654,0,0,0,0,0,0,0,0,0,83,0,0
ENSG00000222378,0,0,0,0,0,0,0,0,0,95,0,0
ENSG00000270040,0,0,0,0,1,0,0,0,1,0,0,0
ENSG00000226438,1,0,0,0,0,1,1,0,0,0,105,2
ENSG00000217897,2,1,2,0,1,1,4,0,1,0,0,1
ENSG00000255103,430,1171,292,561,222,478,861,1125,146,481,261,239
ENSG00000183682,34,18,12,12,32,14,17,0,6,30,37,29
ENSG00000237624,0,1,0,0,1,1,0,0,0,0,0,3
ENSG00000182109,268,129,159,86,318,152,134,201,319,157,170,304
ENSG00000243970,51,13,27,17,45,28,26,19,55,0,0,57
ENSG00000090621,3052,4142,3028,3292,2645,3322,1526,4150,6057,3403,2658,6645
ENSG00000228060,2,3,4,3,4,3,1,0,9,5,115,6
ENSG00000201457,4,7,6,6,4,10,9,0,3,0,152,21
ENSG00000163909,230,132,31,90,17,88,461,205,63,211,40,44
ENSG00000225903,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116981,2,0,1,0,1,0,4,0,2,0,77,0
ENSG00000116983,327,452,68,344,1542,154,164,492,34,426,1399,77
ENSG00000084072,921,885,1327,1139,863,1088,1842,790,2655,1178,962,2177
ENSG00000225333,0,0,0,0,2,0,1,0,1,0,0,0
ENSG00000116985,35,89,44,68,46,147,18,119,22,80,107,74
ENSG00000198754,1,1,2,3,1,3,3,0,1,0,145,2
ENSG00000261798,0,1,2,3,0,0,0,0,4,0,129,0
ENSG00000043514,1146,788,1268,1139,1059,1110,573,662,634,1242,1095,555
ENSG00000202222,2,0,0,0,0,0,1,136,0,5,0,1
ENSG00000116990,909,464,740,772,365,770,454,575,370,669,225,1540
ENSG00000236546,5,0,6,1,2,2,3,0,12,0,0,4
ENSG00000168389,527,513,498,639,335,708,1054,387,996,645,471,1416
ENSG00000228477,12,6,3,11,4,9,24,11,6,0,0,18
ENSG00000131236,4473,12922,4965,3371,6143,4990,8946,13062,2483,3442,6213,2495
ENSG00000131238,2667,2036,3590,3221,2660,2605,1334,2035,1795,3134,2546,5210
ENSG00000226745,0,0,0,1,0,0,0,69,0,0,75,1
ENSG00000117000,1421,1130,1335,1524,1502,1295,2842,1167,668,1617,1486,648
ENSG00000207508,0,0,0,0,0,0,1,99,0,0,139,1
ENSG00000188800,0,0,0,0,0,0,0,116,0,99,24,0
ENSG00000259943,314,149,430,406,409,275,157,5,215,496,284,551
ENSG00000084073,1352,1669,1983,1473,2288,1666,2704,1644,992,1446,2241,833
ENSG00000231296,2,0,2,1,1,2,5,3,4,0,0,5
ENSG00000049089,291,160,600,424,573,403,582,44,1200,338,464,807
ENSG00000227311,0,2,1,2,0,0,0,0,0,75,0,1
ENSG00000084070,990,1099,637,835,1299,772,495,1086,1274,899,1368,1544
ENSG00000187801,345,132,173,318,136,250,173,177,346,243,32,125
ENSG00000260920,274,138,168,292,188,273,137,60,337,311,248,137
ENSG00000187815,186,122,189,201,181,150,93,97,379,62,56,300
ENSG00000238287,4,5,17,7,19,5,2,118,35,0,0,10
ENSG00000164002,152,115,97,102,182,118,76,220,194,0,265,237
ENSG00000227278,0,0,0,0,0,0,0,0,68,0,106,56
ENSG00000238186,11,9,6,9,16,3,6,18,0,18,135,103
ENSG00000117010,98,56,121,142,86,106,49,28,222,71,204,4
ENSG00000236505,0,0,0,0,0,0,0,1,132,0,0,0
ENSG00000233910,0,0,0,0,0,0,1,0,0,0,97,0
ENSG00000117016,3304,1648,2818,2173,2859,2210,6609,3297,2688,1086,2986,2327
ENSG00000237899,4,1,1,4,5,0,8,2,0,9,144,147
ENSG00000272145,66,78,78,99,83,73,133,39,89,50,80,134
ENSG00000066136,1652,1336,1686,1848,1171,1915,826,668,1662,924,1277,1980
ENSG00000198974,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000117013,57,41,115,74,76,70,114,20,156,148,199,169
ENSG00000179862,132,137,125,169,59,201,66,275,259,85,74,287
ENSG00000228940,0,0,0,0,0,0,0,1,47,0,0,17
ENSG00000171793,2987,4100,3364,3531,1488,2746,5975,8201,3249,7063,1412,2601
ENSG00000171790,72,151,27,62,62,53,144,303,0,125,0,76
ENSG00000010803,1467,1313,1192,1478,1103,1439,734,2627,1169,739,1044,1407
ENSG00000215893,1,0,1,0,0,1,3,0,6,0,0,132
ENSG00000235358,2,0,0,0,0,1,4,0,62,0,0,20
ENSG00000204060,84,56,73,91,84,78,168,28,168,46,0,95
ENSG00000229901,0,1,0,1,0,0,0,3,109,0,60,138
ENSG00000127129,1,11,11,1,10,6,0,23,0,3,0,0
ENSG00000127124,245,1267,498,174,841,576,491,634,622,349,822,440
ENSG00000230638,1,5,1,0,5,2,2,11,99,1,103,0
ENSG00000197273,0,0,0,1,0,0,0,0,143,2,44,0
ENSG00000198815,1892,1989,1965,1938,1944,1943,946,3979,1870,3876,1845,1986
ENSG00000227527,7,2,6,7,4,1,14,5,0,15,57,102
ENSG00000177181,305,208,76,214,641,188,611,104,121,429,532,80
ENSG00000235002,1,0,0,0,1,0,2,0,0,0,106,0
ENSG00000066185,3,9,14,4,16,5,2,4,27,2,0,0
