gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000233693,3,0,0,0,1,3,109,0,0,0,2,0
ENSG00000271917,4,0,0,0,1,1,34,33,0,40,0,0
ENSG00000201987,0,0,0,0,0,0,130,57,78,0,0,0
ENSG00000225487,0,0,0,0,0,0,0,0,0,0,0,46
ENSG00000162761,41,3,717,0,0,47,72,0,685,0,0,81
ENSG00000224702,0,0,3,0,0,0,0,0,118,148,0,137
ENSG00000238022,0,0,1,0,0,0,18,0,40,66,0,96
ENSG00000143171,28,44,1,31,79,9,111,97,0,134,158,0
ENSG00000237463,1,7,0,0,17,0,0,0,135,95,35,0
ENSG00000230748,1,0,0,0,1,0,0,0,84,0,2,0
ENSG00000236206,1,0,0,0,1,0,0,0,95,89,3,80
ENSG00000143198,1369,1411,1367,1417,1914,1468,1312,1400,1361,1503,957,1325
ENSG00000143149,1540,1640,1298,2314,756,1500,1460,1690,1321,2267,1512,1542
ENSG00000230175,1,0,0,0,1,0,0,0,133,109,2,102
ENSG00000225272,0,0,0,0,1,0,101,0,85,124,0,92
ENSG00000215838,0,2,1,5,3,1,122,0,0,0,7,0
ENSG00000273365,1,4,2,0,1,0,4,0,0,0,2,109
ENSG00000143183,1707,2027,2506,1901,3968,1851,1689,1901,2415,1847,7936,1719
ENSG00000224358,7,7,10,7,4,12,0,106,103,0,8,112
ENSG00000143179,1765,2581,1875,2424,868,1863,1690,2674,1986,2543,434,1950
ENSG00000236364,14,19,13,17,15,14,0,23,0,0,8,64
ENSG00000226292,0,0,1,1,1,0,71,36,0,30,0,0
ENSG00000188859,77,24,9,25,25,32,154,12,0,33,13,107
ENSG00000203307,2,0,0,1,1,1,1,1,0,0,0,0
ENSG00000215835,5,6,4,6,2,4,3,13,0,0,1,77
ENSG00000229588,1,0,0,0,0,0,1,1,0,75,1,130
ENSG00000238087,0,0,0,0,0,0,0,1,46,68,0,81
ENSG00000215834,0,0,0,0,0,0,0,0,92,0,0,0
ENSG00000234984,0,0,0,0,0,0,1,0,0,0,0,144
ENSG00000232341,2,1,2,1,2,1,4,0,0,0,4,0
ENSG00000143157,2826,2477,2992,2833,2535,2836,1413,4955,3118,2978,5071,2923
ENSG00000152382,949,505,1007,1338,782,1005,1898,252,1116,1279,1564,1086
ENSG00000225171,14,7,15,15,7,12,7,15,0,88,4,0
ENSG00000237096,8,14,17,3,12,1,4,29,0,0,6,0
ENSG00000143195,1890,1369,5638,2063,1422,964,945,2738,5662,2097,2845,953
ENSG00000143194,10,13,25,9,13,5,20,27,0,0,26,0
ENSG00000200036,0,0,0,0,0,0,0,0,31,8,0,0
ENSG00000227907,0,0,0,0,0,0,0,0,121,0,0,0
ENSG00000143167,11,9,76,5,18,20,6,19,134,0,36,0
ENSG00000198842,6,4,4,1,4,4,3,2,0,0,9,0
ENSG00000213068,3,2,3,0,4,2,2,4,0,0,8,91
ENSG00000231605,0,0,0,0,1,0,1,0,0,0,2,27
ENSG00000272205,9,5,11,7,5,9,5,11,28,152,10,5
ENSG00000143190,3067,1931,2990,3418,1651,3456,6135,3863,3090,3533,826,3576
ENSG00000272033,16,3,3,7,6,6,8,2,4,41,3,0
ENSG00000198821,13,13,16,3,5,6,26,26,20,35,2,0
ENSG00000233411,0,0,0,0,0,1,0,1,101,71,1,136
ENSG00000273160,0,1,0,0,0,0,0,0,44,0,0,81
ENSG00000143162,619,1079,652,696,770,422,310,540,550,806,1541,378
ENSG00000231029,0,0,0,0,0,0,0,0,0,6,0,128
ENSG00000198771,5,7,0,0,0,9,10,14,120,67,1,0
ENSG00000197965,2384,5114,3866,2308,3742,2431,4768,10228,3908,2244,7485,2332
ENSG00000143199,7,7,1,5,10,4,15,4,111,0,5,0
ENSG00000250762,1,0,0,1,3,5,0,1,0,115,6,69
ENSG00000232194,0,0,0,0,0,1,0,0,0,107,0,137
ENSG00000143158,604,504,503,593,495,528,1208,1008,428,605,248,672
