gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000229840,0,0,0,0,0,0,1,0,109,144,0,45
ENSG00000236975,0,0,0,0,0,0,1,0,134,138,59,81
ENSG00000177800,0,0,0,0,0,1,0,34,69,0,72,0
ENSG00000177788,5,5,3,7,6,12,3,144,112,100,0,143
ENSG00000168118,668,855,760,891,710,657,1337,781,888,802,582,628
ENSG00000237481,6,2,2,3,6,6,12,0,32,13,115,0
ENSG00000154429,683,603,592,660,634,563,1367,724,609,722,780,555
ENSG00000252051,0,0,0,0,0,0,0,0,83,0,82,0
ENSG00000143632,24,99,10,8,226,90,49,47,0,0,362,228
ENSG00000226920,17,27,23,17,33,18,8,0,73,0,75,16
ENSG00000069248,2314,2170,3080,2986,2435,2505,1157,2315,3128,2963,2450,2476
ENSG00000223635,0,0,2,1,0,0,1,35,0,0,0,42
ENSG00000135776,474,758,643,741,520,565,237,765,724,795,667,483
ENSG00000199672,1,0,1,0,0,0,3,27,71,31,0,142
ENSG00000201492,6,2,0,2,3,2,3,24,0,0,0,0
ENSG00000229367,0,2,0,1,0,1,0,0,130,0,135,0
ENSG00000135801,965,1154,727,870,570,993,483,1193,769,739,644,1099
ENSG00000135763,886,796,733,1031,387,1022,443,911,640,959,435,1145
ENSG00000213028,0,0,1,3,1,0,1,143,150,0,53,43
ENSG00000228058,0,0,0,0,0,0,0,107,0,18,87,45
ENSG00000143641,2609,11505,3234,2297,3104,2954,1305,11635,3117,2430,2970,2881
ENSG00000227006,10,16,6,1,16,7,20,35,143,0,0,0
ENSG00000203257,1,0,0,0,0,0,1,109,0,0,0,0
ENSG00000177614,435,971,94,450,303,440,218,964,2,475,449,331
ENSG00000135775,977,1069,1002,1127,758,1012,1954,1167,1029,993,742,1130
ENSG00000135744,1,24,1,0,1,2,1,104,0,0,19,0
ENSG00000244137,1,1,0,0,0,0,2,0,141,133,130,0
ENSG00000263779,0,0,0,0,0,0,0,101,134,52,0,14
ENSG00000135773,9,21,8,7,2,2,19,35,0,0,137,0
ENSG00000119280,2695,3380,3651,2344,1513,2193,5391,3430,3702,2360,1488,2054
ENSG00000223393,27,16,18,24,12,20,54,0,138,163,147,0
ENSG00000143643,627,786,614,574,876,553,1255,704,636,663,813,578
ENSG00000173409,378,338,505,472,605,414,756,241,595,607,531,500
ENSG00000252131,0,0,0,0,0,0,0,0,0,43,111,14
ENSG00000182118,118,104,413,104,95,114,59,55,328,83,87,62
ENSG00000227934,0,1,2,0,1,0,0,60,98,15,0,110
ENSG00000119283,279,234,73,207,1132,143,558,287,0,87,1097,23
ENSG00000235710,1,0,0,0,0,0,2,85,60,106,0,11
ENSG00000143633,295,254,332,367,313,307,590,299,262,236,202,391
ENSG00000116906,2235,1743,1979,2588,1259,1966,4470,1695,2111,2589,1368,2020
ENSG00000116903,342,566,415,293,395,335,171,682,312,334,418,307
ENSG00000010072,444,532,546,511,557,541,888,452,619,641,419,439
ENSG00000135766,991,1109,844,943,816,928,496,1156,979,1082,881,1070
ENSG00000233461,40,29,53,44,23,44,20,147,24,0,0,100
ENSG00000270106,0,1,2,0,0,0,0,0,42,0,0,0
ENSG00000116918,488,600,782,601,631,622,976,541,750,684,696,604
ENSG00000229228,1,0,0,0,3,1,0,0,0,0,0,132
ENSG00000162946,117,259,69,68,106,69,234,400,0,0,26,151
ENSG00000226758,0,0,0,0,0,0,1,127,68,15,44,42
ENSG00000235152,1,0,0,0,0,0,2,112,0,120,0,0
ENSG00000116991,3540,3546,5647,1335,1954,1825,1770,3448,5760,1262,1927,1810
ENSG00000212916,188,157,149,126,138,32,94,126,278,263,87,0
ENSG00000232175,0,0,0,0,0,0,1,93,0,3,0,0
ENSG00000135778,998,965,1227,1099,852,1099,499,944,1164,1012,898,963
ENSG00000135749,1296,1180,680,862,1646,996,2593,1032,665,907,1700,957
ENSG00000231940,3,2,2,3,2,3,2,16,0,108,133,45
ENSG00000143674,248,160,108,207,82,235,497,140,218,213,0,363
ENSG00000135750,53,58,42,76,19,78,26,87,45,163,108,0
ENSG00000225486,0,0,0,1,0,0,1,0,89,119,47,127
ENSG00000183780,95,50,20,31,58,34,48,117,167,125,39,131
ENSG00000234453,0,0,0,0,1,0,1,0,0,0,46,0
ENSG00000236101,0,0,0,0,0,1,0,7,0,0,0,89
ENSG00000233332,1,0,0,0,0,0,3,0,0,0,0,100
ENSG00000231272,0,0,0,1,0,0,0,86,0,70,0,101
ENSG00000236244,0,0,0,0,0,0,0,0,82,9,141,0
ENSG00000264377,1,0,0,0,0,0,0,18,144,47,134,0
ENSG00000235605,0,1,0,0,0,1,0,0,46,0,93,128
ENSG00000236358,1,3,0,0,1,0,1,0,0,142,113,0
ENSG00000273367,1,4,1,0,5,1,1,94,139,1,82,34
ENSG00000231663,27,24,45,20,28,33,14,0,0,147,6,139
ENSG00000168275,266,247,286,339,205,286,133,334,367,445,287,185
ENSG00000059588,1756,1397,1172,1004,2030,1584,3513,1265,1171,936,2075,1596
ENSG00000231768,1,5,1,1,3,1,1,9,0,9,41,0
ENSG00000168264,943,1378,1586,864,1214,1060,1887,1471,1564,934,1223,1065
ENSG00000224939,2,0,2,1,1,0,1,90,0,0,121,0
ENSG00000272362,0,0,0,0,0,0,0,148,95,0,0,0
ENSG00000230628,1,0,0,0,0,0,0,0,95,124,0,0
ENSG00000227630,3,2,1,1,2,4,2,112,34,74,0,55
ENSG00000238005,0,1,0,0,0,0,0,0,0,67,0,49
ENSG00000233018,0,0,0,0,0,0,0,116,108,0,66,0
ENSG00000273416,5,5,1,3,9,1,3,138,0,0,62,91
ENSG00000173726,4410,5161,7151,5701,5927,5191,2205,5092,7092,5830,6000,5186
ENSG00000207181,2,2,1,1,1,1,1,4,98,0,20,0
ENSG00000188739,29,26,20,17,18,30,59,70,0,0,93,0
ENSG00000054267,1960,2050,1614,1960,2695,1796,3921,2116,1559,2014,2694,1861
ENSG00000232686,1,1,5,1,4,3,3,0,67,122,0,0
ENSG00000236863,1,1,0,0,0,1,0,0,141,0,0,21
ENSG00000234086,0,0,0,0,1,0,0,129,0,0,0,0
ENSG00000152904,1598,1110,1642,1771,1424,1469,3197,1158,1647,1878,1385,1423
ENSG00000227962,4,6,4,0,3,4,8,104,0,0,0,0
ENSG00000230026,2,2,0,3,9,4,1,117,0,47,118,65
ENSG00000116957,896,953,905,838,741,838,1792,1002,987,972,716,983
ENSG00000243533,1,2,0,1,1,1,0,81,2,0,0,0
ENSG00000229795,1,0,1,2,2,2,3,0,33,21,0,61
ENSG00000162885,481,654,731,543,372,576,241,533,827,531,412,455
ENSG00000238236,0,0,0,0,0,0,0,0,0,0,142,80
ENSG00000231199,0,0,0,0,0,0,0,28,0,0,34,97
ENSG00000226663,1,0,0,0,0,1,2,83,0,27,72,0
ENSG00000232714,0,0,0,0,0,0,0,0,0,79,0,0
