gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000122420,103,28,9,9,6,9,240,57,0,61,3,5
ENSG00000227556,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000137959,147,23,2,103,0,56,19,47,36,0,1,113
ENSG00000137965,33,14,3,8,0,4,1,7,0,141,0,8
ENSG00000235400,23,21,42,42,17,29,0,43,181,0,8,59
ENSG00000162618,62,763,28,3,83,59,0,1527,1,31,42,30
ENSG00000230787,0,7,8,1,1,2,107,15,75,76,3,1
ENSG00000235011,0,0,0,0,0,0,0,1,0,61,0,0
ENSG00000232676,0,0,0,2,0,0,0,0,14,0,0,0
ENSG00000235756,0,0,0,0,0,0,18,0,97,0,0,1
ENSG00000236407,1,0,0,0,0,0,0,0,117,0,0,0
ENSG00000213559,1,1,1,1,0,0,0,2,0,43,0,1
ENSG00000224326,0,0,0,0,0,1,0,0,0,0,0,3
ENSG00000234184,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000229752,1,0,3,2,0,0,99,0,0,105,0,1
ENSG00000235089,0,0,0,0,0,0,141,0,85,99,0,0
ENSG00000117114,7365,4744,7274,5736,7663,4830,7341,9488,7245,5786,3832,9661
ENSG00000224494,0,0,1,1,3,1,142,0,0,0,7,2
ENSG00000227288,6,4,6,3,5,4,0,2,77,0,3,2
ENSG00000234953,0,0,0,0,0,0,0,0,75,0,0,0
ENSG00000242598,0,0,0,0,1,0,75,0,72,0,1,0
ENSG00000236676,2,1,0,0,0,0,0,3,143,14,1,0
ENSG00000215875,1,0,1,0,1,1,77,0,80,67,0,0
ENSG00000230817,2,2,0,0,1,0,0,1,0,6,1,0
ENSG00000236268,3,6,6,2,5,0,2,0,72,64,37,0
ENSG00000233008,6,4,1,0,1,0,3,0,59,9,88,0
ENSG00000237076,1,0,0,0,0,0,1,0,0,0,148,0
ENSG00000137941,868,1337,401,526,1607,767,434,1349,536,611,1494,1534
ENSG00000233061,2,4,2,1,3,5,1,113,76,0,0,3
ENSG00000271576,78,89,184,123,112,81,157,63,160,2,0,40
ENSG00000142875,2625,2607,1137,1616,8884,1690,5250,2654,1162,1529,8748,3380
ENSG00000213540,2,1,0,1,2,2,1,16,0,0,114,1
ENSG00000226970,10,15,13,14,11,13,5,0,71,135,33,6
ENSG00000203943,28,23,39,38,12,29,56,0,13,129,0,15
ENSG00000249237,0,1,0,0,0,0,0,52,0,10,0,0
ENSG00000240520,3,4,1,6,6,2,2,0,0,0,0,5
ENSG00000137976,5,14,0,1,36,1,11,94,0,76,106,1
ENSG00000117133,1005,832,1228,1238,779,1201,502,867,1168,1292,704,600
ENSG00000174021,1668,1862,1863,2014,1021,1918,834,1869,1894,1997,1138,3837
ENSG00000122432,11,12,22,10,11,5,22,0,38,100,0,3
ENSG00000117151,58,223,179,72,220,83,116,337,47,181,245,166
ENSG00000180869,1,2,1,0,0,0,2,123,103,10,118,0
ENSG00000117155,1481,745,2330,2143,888,1685,740,851,2370,2191,861,843
ENSG00000171517,11,5,1,4,0,6,6,65,24,0,41,3
