gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000143387,151,146,162,96,285,98,76,73,295,0,142,196
ENSG00000224690,0,2,1,1,1,0,0,1,107,93,1,0
ENSG00000143437,1305,1225,1255,1008,1246,1149,653,2451,1326,867,623,2298
ENSG00000224800,1,1,1,3,0,2,2,2,0,0,1,5
ENSG00000212512,0,0,0,0,0,0,0,0,116,27,0,0
ENSG00000229357,0,0,0,0,0,0,0,1,0,122,0,0
ENSG00000143379,1413,1065,1464,1571,1117,1520,707,532,1492,1586,558,3040
ENSG00000143418,1404,2780,2840,1601,1720,2265,702,1390,2703,1664,860,1132
ENSG00000231073,5,3,1,2,2,5,2,2,0,115,1,2
ENSG00000143412,99,54,77,100,125,89,198,108,0,175,62,179
ENSG00000143409,383,271,261,452,383,440,192,136,335,572,767,220
ENSG00000143363,638,494,757,752,810,652,1277,247,748,683,405,326
ENSG00000200759,0,0,0,0,0,0,0,0,0,116,0,0
ENSG00000163141,21,19,21,10,26,11,42,39,39,105,13,22
ENSG00000143443,91,88,112,127,156,104,46,176,91,67,313,208
ENSG00000197622,1549,3334,2000,1379,2577,1574,3099,6669,2012,1398,5154,3148
ENSG00000213190,6241,5982,3561,4819,8480,5677,12483,2991,3491,4918,4240,2839
ENSG00000143458,218,281,416,222,249,261,109,140,360,220,125,522
ENSG00000233717,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000261168,52,42,17,32,89,35,26,21,0,165,45,70
ENSG00000143434,1585,866,781,1373,2378,1534,792,433,800,1248,4757,3068
ENSG00000163154,5,1,1,3,1,6,10,0,0,0,1,12
ENSG00000163156,480,637,654,523,541,509,961,1274,529,533,270,255
ENSG00000163155,260,266,305,282,288,280,130,133,376,140,577,561
ENSG00000163159,1726,1282,1936,2014,1340,1996,3453,2565,1792,1945,670,998
ENSG00000143398,2059,3143,2963,2156,2599,2469,1030,1572,3087,2150,1300,1235
ENSG00000159352,2422,2524,2895,2736,2549,2490,4845,5048,2786,2587,5099,4981
ENSG00000232671,5,6,6,5,6,10,10,13,0,124,3,5
ENSG00000143373,1161,1304,1610,1422,1035,1283,580,652,1659,1498,2070,2567
ENSG00000143393,1407,2336,1289,1100,1369,1200,704,1168,1378,1104,2738,600
ENSG00000265753,2,0,1,1,0,3,5,1,0,80,1,2
ENSG00000273481,1,0,5,0,0,1,3,0,0,0,0,2
ENSG00000143390,1122,1527,2282,1881,1644,1793,561,3054,2289,1854,822,897
ENSG00000237976,72,41,74,91,51,104,144,21,39,216,26,52
ENSG00000143416,418,422,596,484,327,276,209,845,585,463,654,552
ENSG00000159377,4435,5093,5470,5233,4603,4962,2218,2546,5397,5314,9207,2481
ENSG00000143442,5038,3689,4983,5024,5862,4763,2519,1844,4891,5031,2931,2382
ENSG00000238711,2,0,0,0,1,0,1,0,0,38,0,0
ENSG00000143375,261,621,441,211,458,388,131,1242,405,205,229,776
ENSG00000252840,0,0,0,0,0,1,0,0,0,96,0,2
ENSG00000143367,405,2426,774,283,774,543,202,1213,630,160,387,1087
ENSG00000232536,0,4,0,0,1,0,1,8,51,0,3,1
ENSG00000207606,0,0,0,0,0,0,0,0,59,17,0,0
ENSG00000223861,2,12,2,3,4,3,4,24,0,0,2,2
ENSG00000250734,3,2,1,2,0,3,6,5,0,8,0,2
ENSG00000143376,1531,1585,1440,1434,1613,1127,766,792,1429,1430,3227,2255
ENSG00000206635,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000227045,38,7,3,13,63,22,19,15,0,0,32,45
ENSG00000159409,4280,1409,514,2436,9119,2621,8560,2818,647,2288,4560,1310
ENSG00000178796,2,0,1,1,4,4,5,0,0,0,8,2
ENSG00000206980,0,0,0,0,0,0,0,0,22,0,0,0
ENSG00000269621,11,1,2,2,20,4,6,1,68,0,10,2
ENSG00000236940,0,0,1,0,1,0,0,0,70,0,1,0
ENSG00000143436,740,558,833,739,430,653,1480,1116,731,609,215,326
ENSG00000143450,29,29,22,23,53,20,59,15,0,0,26,10
ENSG00000249602,8,9,13,7,13,10,16,4,0,0,7,21
ENSG00000268288,2,0,0,0,3,0,4,0,36,92,6,0
ENSG00000182134,336,263,572,528,438,520,673,526,563,512,219,260
ENSG00000203288,16,7,14,10,20,14,32,15,17,0,40,28
ENSG00000269489,10,1,5,5,19,3,5,0,0,0,38,6
ENSG00000213171,0,2,0,0,3,0,1,4,0,0,6,0
ENSG00000143365,6,5,1,2,15,3,3,10,0,0,8,2
ENSG00000225556,1,0,4,3,7,0,2,1,35,0,14,0
ENSG00000201134,0,4,1,0,0,0,0,8,0,0,1,0
ENSG00000234614,3,14,7,1,14,4,2,29,0,0,7,9
ENSG00000196407,1,15,7,2,17,2,0,0,0,5,35,0
ENSG00000159445,328,522,384,545,688,333,391,617,346,273,1377,447
ENSG00000197747,420,6598,2717,85,2064,628,535,6452,2829,171,1032,718
ENSG00000229021,0,3,1,0,4,1,129,0,23,0,9,0
ENSG00000163191,800,6900,1533,83,2173,574,949,6937,1676,42,1086,699
ENSG00000232678,0,0,0,0,0,0,68,57,0,0,0,84
