gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000258634,435,323,497,395,465,396,870,233,248,257,350,302
ENSG00000156150,0,1,2,0,0,2,0,0,1,13,107,0
ENSG00000258673,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000186150,0,0,1,0,1,0,0,0,1,84,0,37
ENSG00000197106,88,293,27,10,691,36,44,242,14,0,622,24
ENSG00000227091,0,0,0,0,0,0,0,44,0,0,0,142
ENSG00000235526,1,2,1,0,2,0,2,0,0,107,0,85
ENSG00000224965,0,0,0,1,0,0,0,133,0,0,0,130
ENSG00000116396,165,61,55,209,97,137,83,29,28,132,3,261
ENSG00000200536,0,0,0,0,0,0,0,0,1,0,100,138
ENSG00000227963,9,4,10,22,2,8,18,0,20,0,90,34
ENSG00000162775,604,450,583,757,255,594,302,401,292,863,155,510
ENSG00000168679,68,116,51,40,127,88,136,190,102,12,16,62
ENSG00000273373,310,154,322,346,332,241,620,161,644,220,196,265
ENSG00000224699,29,16,43,25,33,16,59,144,22,33,0,68
ENSG00000134248,1171,946,1522,1415,1059,1034,2342,879,761,1524,1031,886
ENSG00000143125,2,0,1,1,2,0,1,0,3,0,25,44
ENSG00000235407,0,0,0,0,1,0,0,6,0,0,0,0
ENSG00000177301,54,47,10,20,69,19,108,0,20,0,88,0
ENSG00000259834,56,22,14,47,182,36,28,20,29,182,109,172
ENSG00000177272,50,28,21,54,47,47,100,80,43,92,80,77
ENSG00000237415,0,2,0,0,0,0,1,47,0,91,95,0
ENSG00000232791,0,0,0,0,0,0,0,0,0,8,42,0
ENSG00000143119,1,2,0,1,1,1,2,51,0,0,0,0
ENSG00000261654,12,13,3,6,5,16,24,66,2,114,96,0
ENSG00000232811,16,11,13,10,12,22,33,0,27,141,9,141
ENSG00000121931,468,413,509,434,432,559,936,402,1018,293,350,613
ENSG00000273010,5,8,2,5,3,6,3,0,4,0,11,0
ENSG00000156171,415,527,1330,635,1071,521,830,590,2661,552,937,393
ENSG00000134255,482,496,592,496,741,473,965,623,296,622,841,556
ENSG00000162777,1,15,14,0,9,2,3,18,7,98,0,90
ENSG00000064886,0,3,1,0,1,0,1,141,2,0,0,0
ENSG00000236040,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134216,0,1,0,0,0,0,0,50,0,106,87,0
ENSG00000173947,119,102,310,70,66,137,239,25,155,0,36,235
ENSG00000234020,0,1,1,0,0,0,1,3,1,141,0,0
ENSG00000236012,0,0,0,0,0,0,0,0,1,115,2,0
ENSG00000227179,0,2,1,0,1,0,0,0,2,0,96,42
ENSG00000085465,94,233,163,54,264,75,188,288,82,23,403,160
ENSG00000260948,44,66,62,30,79,47,89,169,31,0,115,102
ENSG00000233337,11,23,19,14,24,16,23,9,38,37,95,117
ENSG00000243960,5,10,7,7,10,10,11,0,15,74,25,0
ENSG00000116455,791,1043,824,816,605,884,396,1056,1649,870,544,778
ENSG00000199890,0,2,0,0,0,0,1,37,0,0,0,59
ENSG00000116459,2329,2009,2386,2931,1929,2378,4658,1975,4773,2849,2054,2479
ENSG00000143110,34,26,17,26,90,17,69,99,34,0,16,12
ENSG00000121933,0,2,1,0,0,0,0,3,3,0,11,0
ENSG00000116473,690,936,814,781,860,751,345,913,1629,705,760,615
ENSG00000231346,5,4,3,0,12,2,2,23,7,0,146,86
ENSG00000215867,1,1,0,2,2,1,0,37,0,0,151,93
ENSG00000197852,356,515,261,292,212,338,713,475,523,387,113,191
ENSG00000227811,14,7,6,3,7,4,7,144,12,6,57,0
ENSG00000064703,1210,928,1159,1396,880,1331,2421,1025,580,1428,981,1400
ENSG00000171385,274,239,41,79,793,65,137,285,21,96,752,142
