gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000231999,18,11,15,23,6,6,9,137,0,0,26,13
ENSG00000230735,2,1,1,2,0,1,4,35,81,0,113,1
ENSG00000171488,377,215,266,209,82,219,188,81,308,188,73,110
ENSG00000226394,0,0,0,0,0,0,1,0,6,0,0,0
ENSG00000231613,0,1,0,0,0,0,1,62,0,0,0,0
ENSG00000272931,39,40,53,70,24,34,20,0,0,0,0,68
ENSG00000171492,905,1118,1559,1068,1165,1000,453,1225,1512,1117,1049,500
ENSG00000272672,1,0,0,0,1,0,3,0,79,0,36,0
ENSG00000252797,3,0,2,3,1,1,7,59,0,0,95,0
ENSG00000228175,25,22,29,41,23,40,51,58,0,159,0,80
ENSG00000162664,2486,1899,1964,2590,2204,2194,1243,1807,2087,2667,2197,1097
ENSG00000229201,0,0,0,0,0,0,0,118,106,0,0,0
ENSG00000143032,183,11,37,5,12,31,92,117,0,105,0,62
ENSG00000233593,298,24,56,88,20,180,149,130,121,119,15,360
ENSG00000225446,2,1,0,0,0,0,1,0,61,41,0,1
ENSG00000272094,0,2,0,0,1,0,1,29,95,123,0,1
ENSG00000232882,2,2,1,2,0,3,1,0,45,119,0,6
ENSG00000122482,2191,1434,1766,2782,1683,2320,4383,1426,1873,2851,1591,1160
ENSG00000232393,1,0,0,2,0,1,2,0,85,73,0,3
ENSG00000162669,355,135,262,541,405,355,178,20,143,498,346,178
ENSG00000206817,1,0,0,4,0,1,2,0,0,99,0,3
ENSG00000215873,3,0,1,1,1,3,6,69,0,100,0,2
ENSG00000097046,1737,496,1456,3700,582,2142,868,528,1490,3612,576,4284
ENSG00000241318,1,0,0,0,0,3,2,2,0,11,0,7
ENSG00000229067,1,2,0,1,0,0,3,122,107,66,62,1
ENSG00000203914,3,4,3,1,4,5,6,44,138,0,0,2
ENSG00000069702,215,160,195,144,19,52,108,111,290,156,0,105
ENSG00000137948,0,0,0,0,0,0,0,0,79,26,0,0
ENSG00000172031,31,89,66,42,54,42,63,225,41,0,98,85
ENSG00000230667,2,1,4,1,1,2,4,0,0,0,64,1
ENSG00000189195,13,8,17,25,11,11,6,103,14,0,0,6
ENSG00000224678,0,0,0,0,0,0,0,0,96,27,42,1
ENSG00000233401,0,0,0,0,0,0,0,94,0,0,62,0
ENSG00000069712,333,119,136,267,567,179,666,260,109,347,553,358
ENSG00000273487,3,3,2,4,48,1,7,0,0,0,139,3
ENSG00000203910,2,1,2,3,4,1,1,62,150,59,136,3
ENSG00000233125,1,2,2,1,0,2,3,122,48,103,0,5
ENSG00000174842,610,481,573,839,466,672,305,344,656,986,388,336
ENSG00000122484,901,843,790,906,957,917,1802,992,808,991,981,1834
ENSG00000242764,0,0,0,0,0,0,0,0,0,5,27,0
ENSG00000162676,24,11,8,3,17,10,12,0,0,140,114,5
ENSG00000067208,532,1206,604,396,1066,500,266,1337,465,393,1178,1001
ENSG00000223787,0,0,0,0,1,0,1,108,121,32,19,0
ENSG00000229992,1,0,1,0,2,1,2,115,71,0,0,3
ENSG00000225505,1,0,0,0,0,0,2,0,0,17,0,0
ENSG00000223896,1,0,0,0,0,1,0,0,98,0,58,2
ENSG00000122406,12456,11540,15623,16749,9170,13819,6228,11464,15529,16880,9202,6910
ENSG00000251795,12,19,23,8,21,19,6,0,96,18,31,39
ENSG00000207523,11,7,8,9,13,9,6,0,59,152,87,5
ENSG00000154511,182,431,160,196,381,137,365,517,267,218,377,69
ENSG00000207022,1,2,0,0,1,0,1,100,0,0,0,0
ENSG00000229052,6,2,0,0,1,1,12,0,0,1,0,1
ENSG00000143033,2473,1335,2138,2721,2638,2294,1236,1187,1994,2785,2742,1147
ENSG00000117500,881,2457,1576,1259,1828,1214,1763,2535,1669,1197,1695,607
ENSG00000122483,537,311,709,679,258,535,1074,281,711,606,359,1071
ENSG00000237003,0,1,1,0,0,1,0,57,3,28,35,0
ENSG00000225297,0,0,0,0,0,0,0,0,28,0,0,0
ENSG00000223745,284,210,556,352,812,318,569,180,631,276,850,637
ENSG00000229567,1,0,1,0,0,1,3,37,113,10,0,3
ENSG00000117505,1642,1860,1853,1890,1489,1643,3284,1780,1706,1984,1411,822
ENSG00000229635,5,2,6,5,7,6,2,0,42,0,147,13
ENSG00000207379,0,0,0,0,0,0,0,0,0,0,59,1
ENSG00000137942,6822,4134,5475,5135,11523,6551,3411,4262,5603,5126,11445,13102
ENSG00000212601,0,0,0,0,0,1,0,0,0,0,131,1
ENSG00000137936,584,1094,1141,774,705,713,1168,970,1033,726,755,1427
ENSG00000224093,5,6,1,3,10,4,3,0,0,108,53,2
ENSG00000230439,10,18,14,3,16,6,5,0,156,45,114,3
ENSG00000211575,2,0,1,0,2,0,4,134,37,0,0,0
ENSG00000260464,24,21,12,13,59,22,48,50,0,0,135,11
ENSG00000067334,2233,1844,1823,2673,1685,2472,1116,1714,1930,2721,1795,1236
ENSG00000023909,354,834,347,284,175,334,709,868,288,172,163,669
ENSG00000236689,0,0,0,0,0,0,1,0,127,148,0,0
ENSG00000233129,0,0,0,0,0,0,0,66,118,52,44,0
ENSG00000198691,11,14,15,11,6,20,22,145,118,157,143,10
ENSG00000137962,689,1159,668,310,443,805,344,1193,643,451,328,1610
ENSG00000264963,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178596,0,0,0,0,0,0,0,0,82,138,119,0
ENSG00000236098,0,2,0,0,0,0,0,23,73,67,0,1
ENSG00000226835,0,2,0,0,1,0,0,0,0,0,135,0
ENSG00000117528,1651,1751,1465,2131,1334,1651,826,1776,1386,2086,1384,3302
ENSG00000117525,289,368,285,318,183,375,578,321,316,208,208,750
ENSG00000223675,1,0,0,4,0,5,0,0,0,0,98,11
ENSG00000235565,4,13,10,5,3,11,2,42,0,41,5,22
ENSG00000224081,2,25,20,2,7,10,1,0,135,127,0,21
ENSG00000232857,0,0,0,0,0,0,0,0,147,0,22,0
ENSG00000244433,0,0,0,0,0,0,0,147,0,0,108,0
ENSG00000143036,49,117,93,19,61,72,98,240,147,0,0,36
ENSG00000237416,1,2,1,0,0,0,2,0,141,0,119,0
ENSG00000117519,12313,9432,19130,10719,9289,15191,6157,9463,19119,10674,9430,30382
ENSG00000235501,183,119,201,227,128,195,366,252,131,95,274,98
ENSG00000172339,230,287,259,209,237,276,115,194,400,148,372,552
ENSG00000230427,0,0,0,0,0,0,0,0,76,0,0,0
ENSG00000152078,109,253,458,236,184,247,55,282,523,220,140,494
ENSG00000271092,0,0,1,0,1,1,1,27,116,88,0,0
ENSG00000231992,0,1,1,0,2,2,1,118,53,29,0,5
ENSG00000206679,0,0,0,0,0,0,1,69,0,0,51,0
ENSG00000226026,1,2,2,2,3,4,2,108,0,0,0,8
ENSG00000122481,112,125,203,155,194,133,224,149,58,184,234,267
ENSG00000228852,10,24,25,10,20,14,21,0,10,0,0,28
ENSG00000237954,0,1,0,0,0,1,0,37,0,17,95,0
ENSG00000228971,1,0,0,0,0,0,3,0,119,47,11,0
ENSG00000271252,0,0,0,0,0,0,1,0,0,138,0,0
ENSG00000228502,115,104,160,161,97,137,58,240,238,187,29,69
ENSG00000137970,6,1,6,7,2,7,13,0,10,134,0,14
ENSG00000117569,3624,1156,1827,5372,3080,2979,7248,1154,1682,5313,3131,5958
ENSG00000188641,237,261,62,534,96,178,118,292,111,597,52,89
ENSG00000232878,0,0,0,0,0,0,0,84,0,135,0,0
ENSG00000228057,4,2,7,4,6,2,2,0,134,21,38,5
ENSG00000226128,0,0,0,0,0,0,0,60,93,22,145,0
ENSG00000230718,0,0,0,0,0,0,0,8,148,0,110,0
ENSG00000235777,0,0,1,0,0,1,0,0,0,0,100,2
ENSG00000270911,3,0,0,1,1,0,2,31,58,87,45,0
ENSG00000269998,69,36,1,17,131,27,35,80,0,140,65,14
ENSG00000259946,54,21,2,18,49,20,108,0,98,0,0,10
ENSG00000225206,120,76,5,43,105,54,240,157,0,0,0,27
ENSG00000233557,0,0,0,0,1,0,0,0,0,0,105,0
ENSG00000226053,16,41,42,1,23,26,8,77,21,0,45,145
ENSG00000162627,461,708,467,696,357,446,923,575,234,691,232,509
ENSG00000117598,69,75,13,22,213,20,139,149,7,56,209,7
ENSG00000232825,0,0,1,0,5,1,0,0,0,0,0,0
ENSG00000227034,2,4,7,6,3,6,4,46,4,0,0,23
ENSG00000117600,147,123,15,38,798,55,74,211,30,64,674,152
ENSG00000233983,0,0,0,0,0,0,0,0,0,0,119,12
ENSG00000224445,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000099260,39,261,17,15,129,10,78,321,34,56,203,41
ENSG00000223656,2,3,0,0,6,0,1,0,0,0,0,11
ENSG00000156869,82,53,80,72,46,39,165,17,161,0,0,0
ENSG00000162688,883,783,990,1308,850,886,1766,649,495,1333,971,802
ENSG00000228084,6,4,13,6,3,10,3,13,6,50,76,93
ENSG00000117620,441,448,495,538,459,486,883,536,248,613,400,633
ENSG00000261254,39,32,33,30,50,29,79,0,67,119,143,47
ENSG00000156875,1793,1607,2486,2316,1690,2061,3586,1511,4973,2334,1679,2176
ENSG00000241073,0,0,0,0,0,0,0,0,0,63,11,118
ENSG00000156876,456,247,562,778,235,580,913,154,1125,771,151,638
ENSG00000226952,1,0,0,0,1,1,0,0,0,0,46,150
ENSG00000122435,394,327,379,498,418,444,197,389,190,479,357,391
ENSG00000122477,42,38,56,40,97,37,21,0,113,0,0,177
ENSG00000137992,423,474,652,526,425,507,212,423,1304,519,294,483
ENSG00000271415,0,1,0,0,1,0,1,0,0,14,111,63
ENSG00000225169,1,2,3,1,2,1,3,0,2,0,115,0
ENSG00000230287,1,2,0,0,0,0,2,85,1,0,9,0
ENSG00000224616,10,13,15,20,16,14,5,35,8,97,0,0
ENSG00000137996,772,1371,1006,623,953,820,1544,1516,503,495,1063,900
ENSG00000207750,1,1,0,0,0,1,0,0,0,0,0,104
ENSG00000223906,0,0,0,0,0,0,0,0,0,0,0,21
ENSG00000079335,310,161,292,393,161,346,620,28,146,514,247,401
ENSG00000234332,1,0,0,0,0,3,2,0,0,0,0,38
ENSG00000228086,0,0,0,1,0,0,0,0,0,0,64,40
ENSG00000181656,5,6,1,3,11,5,11,0,2,0,0,0
ENSG00000230402,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000162692,143,21,281,477,227,38,72,0,563,390,230,76
ENSG00000162694,1229,953,2419,1631,2087,1111,614,927,4839,1551,1939,1213
ENSG00000162695,711,1143,1279,683,1328,706,356,1027,2559,805,1232,796
ENSG00000230946,5,1,0,1,1,6,10,0,0,0,144,30
ENSG00000117543,359,316,637,555,338,442,719,408,1275,509,478,377
ENSG00000269175,20,16,17,10,20,12,10,19,8,34,167,0
ENSG00000235795,4,1,4,6,3,2,8,0,9,0,0,109
ENSG00000233184,130,106,186,246,176,191,65,160,93,177,297,203
ENSG00000252765,0,0,0,0,0,0,1,0,0,0,0,58
ENSG00000238296,0,0,0,2,0,0,0,0,1,35,132,0
ENSG00000225938,19,0,7,16,1,8,10,0,4,0,85,53
ENSG00000170989,705,307,515,759,225,487,353,448,258,784,153,507
ENSG00000260940,5,1,0,3,0,4,3,0,1,0,0,43
ENSG00000228399,1,1,4,5,2,3,3,0,8,148,126,63
ENSG00000173810,2,0,0,0,0,0,1,82,0,102,93,0
ENSG00000231671,6,0,0,4,2,21,3,149,1,31,0,117
ENSG00000226715,0,0,0,0,0,0,0,0,0,133,0,65
ENSG00000183298,3,4,9,11,4,6,2,91,4,0,127,0
ENSG00000118733,395,27,38,81,126,65,198,121,19,144,112,23
ENSG00000252717,0,0,0,0,0,0,1,6,0,116,16,131
ENSG00000162699,1,0,0,0,0,0,2,0,0,0,130,0
ENSG00000060718,9585,11576,28408,3069,13201,13173,19171,11692,14204,3137,13124,13213
ENSG00000234257,1,1,1,0,0,0,1,102,0,55,116,0
ENSG00000224613,0,0,0,0,0,0,0,128,0,0,0,104
ENSG00000222069,0,0,0,0,0,0,0,0,0,0,52,77
ENSG00000185946,580,394,464,565,660,489,1160,395,929,711,531,531
ENSG00000240038,148,59,79,89,354,54,74,124,40,46,428,0
ENSG00000237763,0,0,0,0,0,0,1,131,0,138,82,97
ENSG00000174876,0,0,0,0,0,0,0,0,0,25,0,0
ENSG00000215869,0,0,0,0,0,0,0,0,0,95,25,0
ENSG00000227850,1,0,0,0,0,0,2,79,1,143,0,110
ENSG00000237897,1,0,0,0,0,2,3,0,0,0,0,0
