gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000248835,110,111,189,154,57,69,125,56,94,77,114,0
ENSG00000215883,120,103,181,147,50,92,195,207,362,295,100,14
ENSG00000116221,2016,2482,2360,2194,989,1994,2121,4965,4721,4388,1979,2073
ENSG00000157216,4547,3057,4319,3730,3745,5106,4540,1528,2160,1865,7491,5235
ENSG00000198711,27,21,16,17,21,34,120,42,32,8,11,0
ENSG00000225632,3,2,0,0,1,2,73,4,0,0,2,0
ENSG00000227453,0,0,0,0,0,0,45,0,1,0,0,0
ENSG00000162390,28,52,29,19,7,34,0,104,15,10,15,0
ENSG00000162391,0,2,3,2,0,6,33,1,7,5,1,0
ENSG00000230728,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184313,1,1,4,1,3,1,72,3,8,1,2,0
ENSG00000243725,16,15,20,11,26,13,138,8,10,23,13,0
ENSG00000162396,114,133,214,185,94,152,150,266,429,93,47,299
ENSG00000006555,0,0,1,0,6,0,0,0,2,0,13,14
ENSG00000162398,1,3,0,3,1,7,0,2,0,7,0,81
ENSG00000116133,10398,14032,7966,10780,3626,10757,10454,28064,3983,21561,1813,10766
ENSG00000242396,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000233203,1,3,3,1,1,1,0,2,7,1,2,0
ENSG00000143001,0,1,0,0,0,0,0,3,0,0,0,149
ENSG00000162399,1,0,0,0,2,0,92,0,1,0,1,125
ENSG00000169174,260,43,24,173,7,47,214,22,48,87,14,0
ENSG00000162402,3968,3313,3096,4174,3350,3809,3899,1657,6193,8349,6701,3937
ENSG00000231090,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000231095,1,0,0,0,0,0,10,0,0,0,0,0
ENSG00000234810,0,0,0,0,0,0,32,0,0,0,0,62
ENSG00000235612,0,0,0,0,0,0,0,0,0,0,0,69
ENSG00000229871,1,0,0,0,0,0,42,0,0,1,0,0
ENSG00000260971,4,0,2,3,0,2,0,1,1,7,0,130
ENSG00000223956,4,0,0,2,0,0,109,0,0,4,0,0
ENSG00000162407,1133,310,1454,925,165,445,1045,620,2908,462,331,456
ENSG00000236776,0,0,0,0,0,0,45,0,1,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000225475,0,0,0,1,1,0,0,0,1,3,1,99
ENSG00000162409,533,415,813,560,705,564,492,208,1627,1120,353,546
ENSG00000187889,44,2,9,5,9,38,66,1,19,11,5,0
ENSG00000157131,0,1,0,0,0,0,63,2,0,0,0,0
ENSG00000021852,0,1,0,1,1,0,0,3,0,3,2,111
ENSG00000236341,0,0,0,0,0,0,97,0,0,0,0,74
ENSG00000173406,1593,745,427,796,2760,1165,1469,372,214,398,5520,1151
