"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000236679",12.7333318620903,21.3837209397018,2.75490386084404,7.76205705165708,8.35627975086526e-15,1.57098059316267e-12,"up"
"ENSG00000238290",26.1330252153845,4.00183955040585,1.01948258923888,3.92536330943478,8.6598934826549e-05,0.00814029987369561,"up"
"ENSG00000228327",24.1881521951357,3.39920057056385,0.983993923847882,3.45449345588575,0.000551327596079551,0.0214672668835418,"up"
"ENSG00000226969",15.8160501336473,6.42621687098848,1.8438190936891,3.48527515144176,0.000491631215051788,0.0214672668835418,"up"
"ENSG00000200344",18.3714000447392,4.9144194948436,1.42651305844885,3.44505748877435,0.000570937949030367,0.0214672668835418,"up"
"ENSG00000266075",22.4361111245895,3.79433590020568,1.13282801314592,3.34943685729363,0.000809760101575512,0.0253724831826994,"up"
"ENSG00000236423",32.8561949957358,1.98585598711903,0.612199620200472,3.24380467022952,0.00117944597974724,0.0279460132507428,"up"
"ENSG00000237728",18.0760846640784,7.5946794437779,2.34298122253266,3.24145979948076,0.0011891920532231,0.0279460132507428,"up"
"ENSG00000162571",17.201225464101,3.06375247223199,0.974142217440052,3.1450771944606,0.00166043010740988,0.0300485320711313,"up"
"ENSG00000225905",13.8910698792251,4.27810965770373,1.3675474901811,3.12830792964797,0.00175815879139598,0.0300485320711313,"up"
"ENSG00000271847",19.6993356628362,3.48854377115229,1.09795513393574,3.17730994949423,0.00148648079353768,0.0300485320711313,"up"
"ENSG00000069812",22.0655578380201,3.4897787273216,1.15174119365571,3.03000252708231,0.00244551692506196,0.0353659370701267,"up"
"ENSG00000229519",24.55381769483,2.82972735875739,0.930763476363925,3.04022174334973,0.00236404025537481,0.0353659370701267,"up"
"ENSG00000228037",11.1917265946894,4.365761913792,1.4743178020632,2.96120816535109,0.00306434747738845,0.0397536368218822,"up"
"ENSG00000272141",15.5143676860512,6.51865489846188,2.24344080711925,2.90565049800995,0.00366490556530787,0.0430626403923675,"up"
