"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000238871",18.3072347173897,21.881333214127,2.5884364911631,8.45349433483483,2.82711661244303e-17,4.18413258641569e-15,"up"
"ENSG00000201542",14.8733585159022,21.5965526637838,2.69452323439126,8.01498105050217,1.10153997654022e-15,8.15139582639763e-14,"up"
"ENSG00000232335",18.8772924809443,6.68135117282372,1.64564507170583,4.0600195556737,4.90686060698486e-05,0.00242071789944587,"up"
"ENSG00000202129",30.6741104115965,6.90157154208987,1.73917746471091,3.96829632520398,7.23882878611933e-05,0.00267836665086415,"up"
"ENSG00000207508",19.750754872059,7.72049740422673,2.16498979029356,3.56606642619773,0.0003623795562714,0.0107264348656334,"up"
"ENSG00000266239",36.5341111644381,3.57501551127534,1.0303275732295,3.46978534221855,0.000520874467269509,0.0128482368593145,"up"
"ENSG00000223944",20.98733573214,7.80819668091783,2.31751159154272,3.36921580431883,0.000753823834264097,0.0139457409338858,"up"
"ENSG00000188800",19.1328816278099,7.67477686969768,2.25461525479157,3.40402951385476,0.000663995785502,0.0139457409338858,"up"
"ENSG00000233246",22.3678729734252,3.97129833626593,1.26931622373881,3.12869107161362,0.00175586808617628,0.0270952597212413,"up"
"ENSG00000230610",16.8965788988796,7.49530267572374,2.40511861721936,3.11639626505794,0.00183076079197576,0.0270952597212413,"up"
"ENSG00000267885",15.112609754772,6.84561922023406,2.30155264323706,2.97434831236618,0.00293611581889807,0.0371704018918103,"up"
"ENSG00000229994",20.7776945512529,3.02348209411975,1.02746846038506,2.94265197491965,0.00325414018695151,0.0371704018918103,"up"
"ENSG00000235673",14.4390443823611,7.26874454681092,2.4709976992867,2.94162335679599,0.00326496773374009,0.0371704018918103,"up"
"ENSG00000189280",14.4652490781384,4.56316961341003,1.59232707681323,2.86572380753735,0.00416057061254009,0.0439831750468524,"up"
