,sample,ENSG00000120370.12,ENSG00000184731.5,ENSG00000237667.5,ENSG00000085982.13,ENSG00000272463.1,ENSG00000272279.1,ENSG00000204632.11,ENSG00000204301.6,ENSG00000241106.6,ENSG00000124743.5,ENSG00000185250.15,ENSG00000186340.14,ENSG00000242611.2,ENSG00000240859.1,ENSG00000172785.18,ENSG00000181404.15,ENSG00000107099.15,ENSG00000106686.16,ENSG00000096968.13,ENSG00000106688.11,ENSG00000107020.9,ENSG00000099219.13,ENSG00000137040.9,ENSG00000137033.11,ENSG00000225706.1,ENSG00000177963.14,ENSG00000185627.17,ENSG00000142082.14,ENSG00000161328.10,ENSG00000177951.17,ENSG00000185187.12,ENSG00000142102.15,ENSG00000177595.17,ENSG00000270972.1,ENSG00000183020.13,ENSG00000117983.17,ENSG00000185201.16,ENSG00000255328.1,ENSG00000177666.16,ENSG00000023191.16,ENSG00000174775.16,ENSG00000069696.6,ENSG00000177042.14,ENSG00000184545.10,ENSG00000177225.16,ENSG00000255284.1,ENSG00000174915.11,ENSG00000130595.17,ENSG00000110074.10,ENSG00000079101.16,ENSG00000101577.9,ENSG00000141934.9,ENSG00000099866.14,ENSG00000064687.12,ENSG00000129946.10,ENSG00000182087.12,ENSG00000160953.15,ENSG00000267666.2,ENSG00000065268.10,ENSG00000099817.11
0,slow-B7_028#1,-0.0137886736924001,-0.0073612228900436,0.0624762722820518,-0.0001890766255387,0.0115941731061285,-0.0,0.0129888387157061,0.0365704390735655,0.0514408006279802,-0.0,-0.0038017533481159,0.0428672703635503,0.0014997616140238,0.0648033945155186,0.0898247622969648,0.0186774476952355,-4.883772684231187e-09,0.0179912813044424,0.0327953590190312,0.0685345402486484,-0.0424345110335206,-0.0244555148423656,0.0071155519164559,-0.0256140748625189,-0.1178659386588951,-0.0481346179532017,-0.0514889938541284,0.0086832443906257,0.0051505592238555,-0.0196512820895236,0.0026964543627114,0.0002841106357969,-0.0242581245687842,0.2939961364746524,-0.0127770627019119,0.073793410091084,0.0396192614646795,0.2829046151952635,-0.0112316919229065,0.0016646876816395,-0.0,-0.0,-0.186923558286209,-0.0108237409938416,-0.0116642444298613,0.0119742088374518,0.0003311744825351,0.0131273783225819,0.0337048880183228,-0.0490404812445601,0.026619543289589,-0.0441223852393721,-0.3558060878675219,-0.0264808666044671,-0.0540452060157409,0.0041422403962479,0.0597053205575442,0.1062933024191155,0.0357315510773718,0.0
1,slow-B7_033#1,-0.0068943368462,-0.0,0.1952473049005319,-0.0,0.0115941731061285,-0.0,0.0,0.0365704390735655,0.0,-0.0,-0.0038017533481159,0.0,0.0014997616140238,0.0324016972577593,0.0356440245221056,0.0093387238476177,-0.0,0.0466783457942236,0.0037524714252209,0.0794099169816923,-0.0424345110335206,-0.0122277574211828,0.0,-0.0512281497250378,-0.233288300097599,-0.0714384727449803,-0.120921077263586,0.0088818154812188,0.0776201059746502,-0.1219629578771766,-0.0044122635975939,0.0041706474872066,0.0042046046280922,0.2769869572949018,-0.0153738373953946,0.1005675812882206,-0.0214275072644304,0.284231596829237,-0.0117435663703467,-0.0034989036008927,-0.0406097380194422,-0.0410673170716218,-0.1219690583771332,-0.0051801066648788,-0.0116642444298613,0.0059871044187259,0.0006623489650702,0.0131273783225819,0.0168524440091614,-0.0793437820991682,0.0304018847677574,-0.0445422504397194,0.0926557726877099,-0.0264808666044671,-0.0540452060157409,0.0061461661744387,0.0597053205575442,0.0,0.0357315510773718,0.0
2,slow-B7_066#8,-0.0137886736924001,-0.0,0.1327710326184801,-0.0,0.0115941731061285,-0.0,0.0129888387157061,0.0365704390735655,0.0,-0.0117071688674944,-0.0038017533481159,0.0428672703635503,0.0014997616140238,0.0,0.0,0.0093387238476177,-0.0,0.0339506460454379,0.0064084996965889,0.0904720518050447,-0.0424345110335206,-0.0122277574211828,0.0,-0.0512281497250378,-0.2229116201716969,-0.1457612721607311,-0.120921077263586,0.0090111889387766,0.0051505592238555,-0.0806327610281119,-0.014183084855607,0.013027313092867,-0.0444852820373582,0.2939961364746524,-0.0137481940100553,0.0403169944163657,0.0503330150968947,0.28157763356129,-0.0220402021532381,0.0016646876816395,-0.0,-0.0,-0.1219690583771332,-0.0108237409938416,-0.0116642444298613,0.0059871044187259,0.0003311744825351,0.0131273783225819,0.0168524440091614,-0.0887123722941442,-0.0087467683165567,0.0,-0.0663046551765424,-0.0264808666044671,-0.0540452060157409,0.0122923323488775,0.0597053205575442,0.0,0.0357315510773718,0.0
3,fast-B7_051#1,-0.0137886736924001,-0.0073612228900436,0.1952473049005319,-0.0,0.0115941731061285,-0.0416921041333725,0.0129888387157061,0.0,0.0,-0.0,-0.0038017533481159,0.0428672703635503,0.0,0.0172828131398726,0.0356440245221056,0.0142498472936162,-0.0,0.1279067802914379,0.0279125632417866,0.0440601257234393,-0.0424345110335206,-0.0122277574211828,0.0167828265096712,-0.0312092764258751,-0.2189450688188415,-0.1457612721607311,-0.120921077263586,0.02590533021853,0.0051505592238555,-0.0806327610281119,-0.0183529509137788,0.0169138499442768,0.0654712291709686,0.2640113098130314,-0.0254926102882916,0.1005675812882206,-0.0107137536322152,0.2829046151952635,-0.0213088933104334,-0.0034989036008927,-0.0406097380194422,-0.0410673170716218,-0.0,-0.0056436343289628,-0.0,0.0059871044187259,0.0,0.0131273783225819,0.0337048880183228,-0.0408868553074616,0.0042663804866614,-0.0249055987677257,-0.0762237473947524,-0.0264808666044671,-0.0540452060157409,0.0142962581270682,0.0909285496446788,0.1062933024191155,0.0357315510773718,0.0
4,fast-B7_112#3,-0.0137886736924001,-0.0,0.0,-0.0,0.0,-0.0416921041333725,0.0,0.0365704390735655,0.0514408006279802,-0.0234143377349888,-0.0019008766740579,0.0428672703635503,-0.1097341840276884,-0.0371247972195915,0.0356440245221056,0.0186774476952355,-0.0,0.0839236915262934,-0.0026166637852553,0.0221242696467047,-0.0424345110335206,-0.0122277574211828,0.0071155519164559,-0.0055952015633562,-0.2229116201716969,-0.125162114654629,-0.0686138360602538,-0.0258800948334296,0.0827706651985058,-0.0196512820895236,0.0018808789406581,0.0066557118643319,-0.0375936521112465,0.1640072474170767,-0.0010018888659095,0.1032648881870731,0.0144527539162321,0.0770050301932467,-0.0279509277411453,-0.0086624948834249,-0.0812194760388844,-0.0821346341432437,-0.0649544999090757,-0.0112872686579256,-0.0,0.0059871044187259,0.0003311744825351,0.0,0.0337048880183228,-0.1026835258126076,0.0509797165273126,0.0115955186903011,0.0281819811249984,-0.0090921994388075,-0.0540452060157409,-0.0020039257781907,0.0055395774534348,0.0531466512095577,0.0357315510773718,0.0
5,fast-B7_007#4,-0.0137886736924001,-0.0073612228900436,0.1952473049005319,-0.0,0.023188346212257,-0.0,0.0,0.0182852195367827,0.0,-0.0117071688674944,-0.0038017533481159,0.0857345407271006,0.0,0.0172828131398726,0.0356440245221056,0.0093387238476177,-0.0,0.0929298734328032,0.0327953590190312,0.0329979909000869,-0.0212172555167603,-0.0,0.0071155519164559,-0.0512281497250378,-0.2229116201716969,-0.0366126240273021,-0.0514889938541284,0.0005592121985756,0.0051505592238555,0.021678914759541,-0.0461815837843576,0.0001420553178984,0.0218214904437351,0.2640113098130314,-0.0204332238418431,0.1005675812882206,0.0144527539162321,0.1526830787525199,0.0187927722456801,-0.0034989036008927,-0.0406097380194422,-0.0410673170716218,-0.0,-0.0051801066648788,-0.0,0.0196425487730822,0.0003311744825351,0.0131273783225819,0.0337048880183228,-0.009368590194976,0.0471973750491441,0.0668223176165339,-0.0663046551765424,-0.018184398877615,-0.0540452060157409,0.0061461661744387,0.0055395774534348,0.0531466512095577,0.0357315510773718,0.0
